Topic,Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next,x,y,dx,dy,left,right,state.edges,state.suggested.u,state.suggested.v,state.terminal,state.submit_suggested,action.agent_name,action.type,action.edge.u,action.edge.v,next_state.edges,next_state.suggested.u,next_state.suggested.v,next_state.terminal,next_state.submit_suggested,action_no,step_no,turn_agent,data,level,name,msg,file,function,line,topics
justhink_app-activity_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535121.8087423,1.0,1622535121.0,808133363.0,start,start,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535129.7477992,2.0,1622535129.0,746751785.0,start,start,intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535230.1516392,1.0,1622535230.0,151420831.0,start,start,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535273.5268722,2.0,1622535273.0,525956392.0,start,start,intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535307.3131635,3.0,1622535307.0,312160968.0,intro,intro,indiv-illustrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535438.243584,4.0,1622535438.0,242682695.0,indiv-illustrate,indiv-illustrate,pretest-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535533.06731,5.0,1622535533.0,66036701.0,pretest-1,pretest-1,pretest-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535593.0028589,6.0,1622535593.0,1886129.0,pretest-2,pretest-2,pretest-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535662.5086954,7.0,1622535662.0,507987022.0,pretest-3,pretest-3,pretest-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535726.3239987,8.0,1622535726.0,322933912.0,pretest-4,pretest-4,pretest-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535795.1569452,9.0,1622535795.0,156658649.0,pretest-5,pretest-5,collab-activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622536142.084546,10.0,1622536142.0,83491086.0,collab-activity,collab-activity,posttest-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622536193.2456388,11.0,1622536193.0,244468927.0,posttest-1,posttest-1,posttest-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622536303.166025,12.0,1622536303.0,165121793.0,posttest-2,posttest-2,posttest-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622536367.3551505,13.0,1622536367.0,354090452.0,posttest-3,posttest-3,posttest-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622536434.1323962,14.0,1622536434.0,131564617.0,posttest-4,posttest-4,posttest-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622536494.7046978,15.0,1622536494.0,703917026.0,posttest-5,posttest-5,debriefing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justhink_app-mouse_drag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535272.766869,1.0,1622535272.0,766675710.0,start,,,851.0,536.0,0.0,2.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.4503849,2.0,1622535338.0,449777603.0,indiv-illustrate,,,1367.0,551.0,44.0,-17.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.45041,3.0,1622535338.0,449965000.0,indiv-illustrate,,,1374.0,545.0,7.0,-6.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.5656092,4.0,1622535338.0,564789295.0,indiv-illustrate,,,1381.0,537.0,7.0,-8.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.5656316,5.0,1622535338.0,565171718.0,indiv-illustrate,,,1389.0,531.0,8.0,-6.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.6676698,6.0,1622535338.0,667222261.0,indiv-illustrate,,,1396.0,525.0,7.0,-6.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.668427,7.0,1622535338.0,668233871.0,indiv-illustrate,,,1402.0,520.0,6.0,-5.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.7819612,8.0,1622535338.0,781521558.0,indiv-illustrate,,,1406.0,514.0,4.0,-6.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.8460257,9.0,1622535338.0,845697879.0,indiv-illustrate,,,1411.0,508.0,5.0,-6.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.8948789,10.0,1622535338.0,894393920.0,indiv-illustrate,,,1416.0,503.0,5.0,-5.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.997865,11.0,1622535338.0,997369766.0,indiv-illustrate,,,1422.0,498.0,6.0,-5.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535338.9989543,12.0,1622535338.0,998531579.0,indiv-illustrate,,,1427.0,492.0,5.0,-6.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535339.099962,13.0,1622535339.0,99628686.0,indiv-illustrate,,,1433.0,487.0,6.0,-5.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535339.1013744,14.0,1622535339.0,100979089.0,indiv-illustrate,,,1440.0,483.0,7.0,-4.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535339.211152,15.0,1622535339.0,210778951.0,indiv-illustrate,,,1447.0,478.0,7.0,-5.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535339.2317748,16.0,1622535339.0,231411457.0,indiv-illustrate,,,1454.0,475.0,7.0,-3.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535339.3117332,17.0,1622535339.0,311373472.0,indiv-illustrate,,,1460.0,472.0,6.0,-3.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535339.4133365,18.0,1622535339.0,412970304.0,indiv-illustrate,,,1462.0,472.0,2.0,0.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535339.4364848,19.0,1622535339.0,436112403.0,indiv-illustrate,,,1466.0,472.0,4.0,0.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535339.7202415,20.0,1622535339.0,719830274.0,indiv-illustrate,,,1467.0,472.0,1.0,0.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535343.5817378,21.0,1622535343.0,581422805.0,indiv-illustrate,,,1053.0,641.0,-4.0,5.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535343.6794865,22.0,1622535343.0,679133415.0,indiv-illustrate,,,1079.0,641.0,26.0,0.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535343.7779574,23.0,1622535343.0,777543783.0,indiv-illustrate,,,1139.0,635.0,60.0,-6.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
,1622535343.778685,24.0,1622535343.0,778504371.0,indiv-illustrate,,,1169.0,628.0,30.0,-7.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
