Time,header.seq,header.frame_id,current,next
0.0,1,init,init,start
5.743693113327026,2,start,start,init
55.42802333831787,3,init,init,start
67.3668122291565,4,start,start,intro
100.12986016273499,5,intro,intro,indiv-illustrate
320.64691948890686,6,pretest-1,pretest-1,pretest-2
403.83800983428955,7,pretest-2,pretest-2,pretest-3
463.92358016967773,8,pretest-3,pretest-3,pretest-4
509.97258472442627,9,pretest-4,pretest-4,pretest-5
558.8586332798004,10,pretest-5,pretest-5,collab-activity
953.8988955020905,11,collab-activity,collab-activity,collab-activity
1918.387612104416,2,collab-activity,collab-activity,collab-activity
2002.954338312149,1,init,init,init
2029.676097393036,2,collab-activity,collab-activity,collab-activity
2354.558159351349,3,collab-activity-2,collab-activity-2,collab-activity-2
3100.0849545001984,4,posttest-1,posttest-1,posttest-1
3135.2447481155396,5,posttest-1,posttest-1,posttest-2
3167.2349586486816,6,posttest-2,posttest-2,posttest-3
3197.0752890110016,7,posttest-3,posttest-3,posttest-4
3225.017796278,8,posttest-4,posttest-4,posttest-5
3272.98344707489,9,posttest-5,posttest-5,debriefing
