Time,agent_name,type,edge.u,edge.v
0.0,robot,0,0,3
39.73515748977661,robot,0,5,4
48.76375484466553,robot,0,4,6
86.01744222640991,robot,0,6,7
95.45455479621887,robot,0,7,5
139.67955446243286,robot,0,2,1
148.28326177597046,robot,0,1,3
193.13330841064453,robot,0,8,9
201.6372845172882,robot,0,9,1
274.435626745224,robot,0,2,1
282.21595788002014,robot,0,1,3
318.0635395050049,robot,0,8,9
326.4698498249054,robot,0,9,1
366.8230011463165,robot,0,5,4
375.6086575984955,robot,0,4,6
410.4101529121399,robot,0,6,7
418.8175539970398,robot,0,7,5
456.3115246295929,robot,0,1,3
496.840815782547,robot,0,3,0
505.8618574142456,robot,0,0,7
543.3471674919128,robot,0,1,4
551.5383841991425,robot,0,4,9
612.6669132709503,robot,0,0,3
658.4697070121765,robot,0,6,4
697.5517852306366,robot,0,4,5
706.9723281860352,robot,0,5,7
751.6272494792938,robot,0,1,2
761.0613963603973,robot,0,2,3
790.5401380062103,robot,0,9,8
799.9648704528809,robot,0,8,2
839.269228219986,robot,0,6,7
848.2858943939209,robot,0,7,5
940.4822194576263,robot,0,9,8
950.0857653617859,robot,0,8,2
1010.0994954109192,robot,0,1,2
1019.5534307956696,robot,0,2,3
1064.1468687057495,robot,0,9,1
1104.5107781887054,robot,0,1,4
1113.3120429515839,robot,0,4,5
1171.6874616146088,robot,0,4,5
1205.4795289039612,robot,0,6,7
1214.7039086818695,robot,0,7,5
1251.3585755825043,robot,0,4,6
1260.1388087272644,robot,0,6,5
1331.8153095245361,robot,0,4,5
1341.2611651420593,robot,0,5,7
1408.847151517868,robot,0,7,6
1417.786743402481,robot,0,6,4
1492.1892538070679,robot,0,9,8
1500.58540558815,robot,0,8,2
1531.2953007221222,robot,0,1,2
1540.5249333381653,robot,0,2,3
1594.5965712070465,robot,0,4,6
1602.8054106235504,robot,0,6,7
1648.2497773170471,robot,0,4,5
1656.240540266037,robot,0,5,7
1691.4690747261047,robot,0,9,8
1723.420475244522,robot,0,9,4
1731.5196266174316,robot,0,4,1
1768.6711966991425,robot,0,1,2
1778.0866568088531,robot,0,2,3
