Time,data
0.0,"Hello! My name is Q.T., and here is my friend Utku. Let's start when you are ready!"
14.865241289138794,"Look at this! This is a map of Switzerland. You see many mountains, and in all of  the mountains there is gold! You also see buildings, but they are not important."
32.07642936706543,"In this game, our goal is to build a railway network to help the miners go from any mine to any other. For this goal, we should try to spend as little money as possible to build these railways."
49.5633065700531,"Before we play together, let's see how to interact with the game. You see here two gold mines, with a possible connection between them, shown as a gray track."
64.8443706035614,"Let's connect these two gold mines to each other, so that the miners can travel between them. For this, click on one mine, and go to the other without releasing!"
84.30444097518921,"This railway costs 3 francs! In this game we consider the costs of the tracks: every time we build a track, it costs something. We want to spend as little as we can."
103.53767395019531,"Now, imagine you want to remove the connections and start connecting again from  scratch. For this, you can press the eraser button on the right. Try it!"
123.76713681221008,"Now, there is no connection between the mountains: miners can't go between them. Let's connect again, and when you are done, propose your connection by pressing the submit button!"
155.51257801055908,Perfect! You got a hold of it. We can begin!
165.34292030334473,"Now, let’s start the game! Go ahead and connect all the gold mines to each other so that miners can go from any mine to any other mine by some path!"
180.2659456729889,"Try to spend as little as possible to build the tracks. Please give it a try by yourself, later, we will do it together!"
262.92528319358826,"Okay, so, let's try to connect these different gold mines to help the miners go between all of them. Try to spend as few francs as you can. Give it a try!"
353.3837206363678,"So you are done with the second one. What about these gold mines? Let's connect them as cheaply as possible, while miners can travel between them. Go ahead!"
415.77483773231506,"Okay, let's try for this one now. Connect them while spending as little as possible, make sure miners can travel between all of them. Soon, we will do it together. Good luck!"
531.1464927196503,"So, for this final time, please connect these different mines as cheaply as you can, by yourself. Then, we will play together!"
592.4245717525482,"Now, we do it together! We need to connect the mines, so that miners can travel from any mine to any other. Our goal is to spend as few francs as possible to build tracks!"
609.8239989280701,"We have got only four attempts to find the cheapest connection, so let's try our best! When you think it is ready to be submitted, press submit: the system will give feedback."
628.9168651103973,"Let's start from Basel. Shall we go to Bern? Now, it is your turn. If you think we should connect them, agree with me by pressing the check. Otherwise, disagree with the cross!"
659.2017228603363,"Great, you agree. Then, what should we pick next? Go ahead and suggest the connection we should pick, by clicking on a mine and dragging to another."
681.9502761363983,"Then, you think we should go from Interlaken to Zermatt."
691.1328561306,"Okay, I think it is a good one too!"
699.9127984046936,"Then, shall we go from Zermatt to Montreux?"
719.6592874526978,Great to see that you agree. Now it is your turn: Make a guess! What do you think I will do now?
736.1548738479614,"I see, you think I would connect Neuchatel to Interlaken."
745.8055231571198,"I don't think so! Rather than that, maybe we go from Neuchatel to Montreux?"
778.8407263755798,Great to see that you agree. Now it is your turn: what should we do?
809.3394484519958,"I see, you want to connect Zermatt to Davos."
818.3276646137238,"I disagree. Rather than that, maybe we go from Zermatt to Luzern?"
831.9379107952118,"Great, you agree. So, what should we do now?"
846.0476696491241,"I see, you want to connect Luzern to Zurich."
854.9697322845459,"Very well, let's connect them."
863.3058133125305,Let's pick Zurich to Bern.
909.0281536579132,Great to see that you agree. Now it is your turn: Make a guess! What do you think I will do now?
943.1307554244995,"I see, you think I would connect Gallen to Davos."
952.4641690254211,I agree!
959.1785223484039,"Then, shall we go from Davos to Luzern?"
970.2719299793243,"Great, You agree with me! Then, its your turn, which mines should we connect?"
993.2053463459015,"Then, you think we should go from Zurich to Gallen."
1002.2713897228241,I agree!
1008.4953570365906,The system says we can do better!
1009.4871959686279,Let's submit! The system will check if our connection is the cheapest possible.
1012.8591763973236,Let's try again!
1021.6941885948181,Let's pick Gallen to Davos.
1030.4670205116272,"Great, You agree with me! Then, its your turn, which mines should we connect?"
1052.159726858139,"I see, you want to connect Davos to Zermatt."
1061.4441635608673,I don't think so! I think we should rather pick Davos to Luzern.
1079.0669960975647,Great to see that you agree. Now it is your turn: what should we do?
1108.765960931778,"Then, you think we should go from Zurich to Luzern."
1117.7687566280365,I agree with you!
1124.6367771625519,"Then, shall we go from Luzern to Bern?"
1146.5258932113647,"Great, you agree. So, what should we do now?"
1165.3396668434143,"I see, you want to connect Basel to Bern."
1174.0780358314514,"Definitely, that's a good choice!"
1182.525624513626,"Then, shall we go from Bern to Zurich?"
1200.1015253067017,Great to see that you agree. Now it is your turn: what should we do?
1216.3339421749115,"Hmm, you would like to go from Luzern to Zermatt!"
1225.2680432796478,"Very well, let's connect them."
1233.5798466205597,"Then, shall we go from Zermatt to Interlaken?"
1241.2971060276031,Great to see that you agree. Now it is your turn: what should we do?
1256.8221609592438,"I see, you want to connect Interlaken to Neuchatel."
1266.4305307865143,"Very well, let's connect them."
1274.8065099716187,Let's pick Neuchatel to Montreux.
1285.02588057518,"Great, you agree. So, what should we do now?"
1298.5182089805603,"Okay, then you think this is the cheapest possible, and you want to submit."
1305.1734547615051,It seems we can do better!
1309.0249872207642,Let's try again!
1319.3975687026978,"Hmm, you would like to go from Montreux to Zermatt!"
1328.4616038799286,"Very well, let's connect them."
1336.8118846416473,Let's pick Zermatt to Interlaken.
1344.969696521759,Great to see that you agree. Now it is your turn: Make a guess! What do you think I will do now?
1369.8555085659027,"I see, you think I would connect Neuchatel to Montreux."
1379.3979396820068,"Very well, let's connect them."
1387.5956304073334,Let's pick Montreux to Interlaken.
1398.8602559566498,"Great, You agree with me! Then, its your turn, which mines should we connect?"
1420.2740895748138,"Then, you think we should go from Zermatt to Luzern."
1429.4647200107574,I agree with you!
1436.5394248962402,"Then, shall we go from Luzern to Zurich?"
1445.5543932914734,Great to see that you agree. Now it is your turn: Make a guess! What do you think I will do now?
1461.0837001800537,"Then, you think I want to go from Bern to Luzern."
1470.4503808021545,"Okay, I think it is a good one too!"
1479.1429932117462,"Umm, what about from Luzern to Davos?"
1549.9997663497925,"Okay, you don't think so. Please guess: What do you think I will do now?"
1566.9996435642242,"I see, you think I would connect Basel to Bern."
1576.0861566066742,"Very well, let's connect them."
1584.6244087219238,"Then, shall we go from Bern to Zurich?"
1618.7250518798828,"I see you do not agree. Then, what is best to do now?"
1631.932472229004,"I see, you want to connect Gallen to Davos."
1641.2437579631805,"Definitely, that's a good choice!"
1650.192524433136,Let's pick Davos to Luzern.
1657.2779314517975,"Great! You agree! Now, you go: which ones should we connect?"
1672.3636362552643,"I see that you think we are done, and you want to submit."
1677.5087082386017,"Oh, the system checked our connection: it seems we can spend less!"
1685.0519485473633,Let's try again!
1698.472012758255,"Hmm, you would like to go from Montreux to Zermatt!"
1707.3438470363617,I agree!
1714.057380437851,"Then, shall we go from Zermatt to Interlaken?"
1726.0234951972961,"Great, You agree with me! Then, its your turn, which mines should we connect?"
1756.7769367694855,"Hmm, you would like to go from Interlaken to Neuchatel!"
1766.3420987129211,I agree!
1773.0516312122345,"Then, shall we go from Neuchatel to Montreux?"
1792.8835685253143,"Okay, you don't think so. What would you like to do, then?"
1806.6306085586548,"Hmm, you would like to go from Zurich to Luzern!"
1816.1481461524963,"Definitely, that's a good choice!"
1824.6757290363312,Let's pick Luzern to Bern.
1877.1336863040924,"Great, you agree. So, what should we do now?"
1888.3661937713623,"I see, you want to connect Basel to Bern."
1896.9745211601257,"Okay, I think it is a good one too!"
1905.535281419754,"Then, shall we go from Bern to Zurich?"
1913.4662215709686,"Okay, you don't think so. What would you like to do, then?"
1926.5138337612152,"Then, you think we should go from Zermatt to Davos."
1935.734007358551,"If you insist, okay."
1944.0422608852386,"Then, shall we go from Davos to Gallen?"
1958.2281472682953,"Great, You agree with me! Then, its your turn, which mines should we connect?"
2004.1526095867157,"Then, you think we should go from Zermatt to Luzern."
2013.1196007728577,"Definitely, that's a good choice!"
2021.6988031864166,"Then, shall we go from Luzern to Davos?"
2029.6555652618408,"Oh, you don't think so. Then, what shall we do?"
2039.4080646038055,"I see that you think we are done, and you want to submit."
2044.7176532745361,It seems we can do better!
2048.77165722847,Let's try again!
2059.1100594997406,"Now we play again, this time for different connections! Our goal is the same: connecting them while spending as little as we can."
2071.9113268852234,Let me start.
2076.2309975624084,Let's start from Zermatt. Shall we go to Luzern?
2086.8790197372437,"Great, You agree with me! Then, its your turn, which mines should we connect?"
2100.2987546920776,"Then, you think we should go from Bern to Luzern."
2109.3923785686493,I don't think it is a good connection! Shouldn't we go from Bern to Interlaken instead?
2125.786107778549,"Great, You agree with me! Then, its your turn, which mines should we connect?"
2161.6383759975433,"Then, you think we should go from Neuchatel to Montreux."
2171.054473876953,"Definitely, that's a good choice!"
2179.764862060547,"Umm, what about from Montreux to Interlaken?"
2189.334880590439,"I see you do not agree. Then, what is best to do now?"
2201.7326929569244,"Hmm, you would like to go from Gallen to Davos!"
2210.7827937602997,"I disagree. Instead of that, what about going from Gallen to Basel?"
2222.0258617401123,"Great, You agree with me! Then, its your turn, which mines should we connect?"
2252.918969631195,"Hmm, you would like to go from Gallen to Davos!"
2262.1753306388855,"Definitely, that's a good choice!"
2271.1162281036377,"Then, shall we go from Davos to Zurich?"
2286.1252636909485,"Okay, you do not agree. So, what shall we do now?"
2300.6026792526245,"Then, you think we should go from Basel to Zurich."
2309.4638316631317,I agree with you!
2316.393280506134,"Umm, what about from Zurich to Davos?"
2343.496807575226,"I see you do not agree. Then, what is best to do now?"
2369.81148314476,"Then, you think we should go from Montreux to Interlaken."
2379.541496038437,I agree!
2386.2126059532166,"Then, shall we go from Interlaken to Luzern?"
2407.692966222763,"Oh, you don't think so. Then, what shall we do?"
2424.420935153961,"I see, you want to connect Basel to Neuchatel."
2433.578398704529,"Okay, if you really want it so much."
2443.175730228424,Let's pick Neuchatel to Bern.
2453.3394000530243,"Okay, you don't think so. Please guess: What do you think I will do now?"
2464.391251564026,"Okay, then you think this is the cheapest possible, and you want to submit."
2471.127010822296,It seems we can do better!
2475.180816411972,Let's try again!
2493.787610769272,"Hmm, you would like to go from Bern to Interlaken!"
2503.0077843666077,I agree with you!
2510.152842760086,Let's pick Interlaken to Luzern.
2526.5898089408875,"Okay, you don't think so. Please guess: What do you think I will do now?"
2540.45418715477,"Hmm, you believe I would like to go from Gallen to Davos!"
2550.1532967090607,I see that you really want to connect them: fine.
2560.0876784324646,Let's pick Davos to Zurich.
2568.6446187496185,"Okay, you do not agree. So, what shall we do now?"
2591.2709500789642,"Hmm, you would like to go from Gallen to Basel!"
2599.902112007141,"Okay, I think it is a good one too!"
2608.8268246650696,"Umm, what about from Basel to Zurich?"
2622.9899954795837,"Great, You agree with me! Then, its your turn, which mines should we connect?"
2633.7162957191467,"Great! You agree! Now, you go: which ones should we connect?"
2685.688729763031,"Now we play again, this time for different connections! Our goal is the same: connecting them while spending as little as we can."
2698.5980224609375,Let me start.
2703.1480388641357,Let's start from Zermatt. Shall we go to Luzern?
2721.3574028015137,"Okay, you do not agree. So, what shall we do now?"
2735.6533029079437,"Then, you think we should go from Gallen to Davos."
2744.502650499344,"I disagree with you! Rather than that, maybe we go from Gallen to Basel?"
2755.5683176517487,Great to see that you agree. Now it is your turn: Make a guess! What do you think I will do now?
2771.9030542373657,"Hmm, you believe I would like to go from Basel to Zurich!"
2781.758666753769,I agree!
2788.6757712364197,"Umm, what about from Zurich to Davos?"
2797.695314884186,"Okay, you disagree, then you don't think it is a good connection. Now, make a guess! What do you think I will do now?"
2815.1808955669403,"Hmm, you believe I would like to go from Bern to Interlaken!"
2824.77672290802,I agree!
2831.271603822708,Let's pick Interlaken to Luzern.
2840.979683160782,"Oh, you don't think so. Then, what shall we do?"
2852.0618188381195,"Then, you think we should go from Neuchatel to Montreux."
2861.2331895828247,I agree!
2868.0260984897614,Let's pick Montreux to Interlaken.
2885.7791223526,"Great! You agree! Now, you go: which ones should we connect?"
2899.1482338905334,"I see, you want to connect Interlaken to Luzern."
2908.3298115730286,"Okay, I think it is a good one too!"
2917.281990289688,"Umm, what about from Luzern to Bern?"
2928.7135803699493,"Oh, you don't think so. Then, what shall we do?"
2943.1604011058807,"Then, you think we should go from Luzern to Zermatt."
2952.1470108032227,I don't think it is a good connection! Shouldn't we go from Luzern to Bern instead?
2988.7932250499725,"Great, You agree with me! Then, its your turn, which mines should we connect?"
3002.487825155258,"I see, you want to connect Gallen to Davos."
3011.5659697055817,"Okay, I think it is a good one too!"
3020.299676179886,"Then, shall we go from Davos to Zurich?"
3039.449022293091,"Great, You agree with me! Then, its your turn, which mines should we connect?"
3050.2312245368958,"I see that you think we are done, and you want to submit."
3055.4155769348145,It seems we can do better!
3059.3735780715942,Let's try again!
3074.196061372757,"I see, you want to connect Basel to Gallen."
3083.435969352722,I don't think so! Shouldn't we go from Basel to Zurich instead?
3093.9154641628265,"Great! You agree! Now, you go: which ones should we connect?"
3106.3223965168,"Hmm, you would like to go from Basel to Gallen!"
3114.9826822280884,I agree with you!
3121.900720834732,"Umm, what about from Gallen to Davos?"
3129.380031824112,"Great, You agree with me! Then, its your turn, which mines should we connect?"
3148.5563900470734,"I see, you want to connect Neuchatel to Montreux."
3157.9562106132507,"Definitely, that's a good choice!"
3166.531144618988,"Umm, what about from Montreux to Interlaken?"
3174.4887483119965,Great to see that you agree. Now it is your turn: what should we do?
3208.837812900543,"I see, you want to connect Luzern to Zermatt."
3218.223829269409,"What can I say, if you want it so much! Okay."
3229.1744861602783,Let's pick Zermatt to Davos.
3243.1606719493866,"I see you do not agree. Then, what is best to do now?"
3261.412141084671,"Then, you think we should go from Bern to Interlaken."
3270.659940481186,"Very well, let's connect them."
3278.9285333156586,Let's pick Interlaken to Luzern.
3286.923667907715,"Great, You agree with me! Then, its your turn, which mines should we connect?"
3312.832589864731,"I see, you want to connect Bern to Basel."
3321.527965068817,"Okay, if you really want it so much."
3330.961811065674,Let's pick Basel to Neuchatel.
3339.320799589157,"Great, You agree with me! Then, its your turn, which mines should we connect?"
3358.9396023750305,"Then, you think we should go from Zurich to Davos."
3368.3578202724457,I agree with you!
3375.420203447342,"Then, shall we go from Davos to Zermatt?"
3384.8520092964172,Great to see that you agree. Now it is your turn: Make a guess! What do you think I will do now?
3408.0939049720764,"Then, you think I want to go from Neuchatel to Bern."
