Time,data
0.0,
8.031540393829346,
64.08395051956177,
75.94300961494446,"Hello! My name is Q.T., and here is my friend Utku.
Let's start when you are ready!"
100.46489787101746,"Look at this! This is a map of Switzerland. You see many mountains, and in all of 
the mountains there is gold! You also see buildings, but they are not important."
117.63559985160828,"In this game, our goal is to build a railway network to help the miners go from any mine to any other.
For this goal, we should try to spend as little money as possible to build these railways."
134.8726270198822,"Before we play together, let's see how to interact with the game. You see here
two gold mines, with a possible connection between them, shown as a gray track."
149.99939131736755,"Let's connect these two gold mines to each other, so that the miners can travel
between them. For this, click on one mine, and go to the other without releasing!"
174.06050539016724,"This railway costs 3 francs! In this game we consider the costs of the tracks:
every time we build a track, it costs something. We want to spend as little as we can."
192.97338223457336,"Now, imagine you want to remove the connections and start connecting again from 
scratch. For this, you can press the eraser button on the right. Try it!"
210.04219913482666,"Now, there is no connection between the mountains: miners can't go between them. Let's
connect again, and when you are done, propose your connection by pressing the submit button!"
235.81473016738892,Perfect! You got a hold of it. We can begin!
245.59809684753418,"Now, let’s start the game! Go ahead and connect all the gold mines to each other
so that miners can go from any mine to any other mine by some path!"
260.3875744342804,"Try to spend as little as possible to build the tracks.
Please give it a try by yourself, later, we will do it together!"
347.972838640213,"Okay, so, let's try to connect these different gold mines to help the miners go
between all of them. Try to spend as few francs as you can. Give it a try!"
415.4223289489746,"So you are done with the second one. What about these gold mines? Let's connect
them as cheaply as possible, while miners can travel between them. Go ahead!"
480.647967338562,"Okay, let's try for this one now. Connect them while spending as little as possible,
make sure miners can travel between all of them. Soon, we will do it together. Good luck!"
542.853333234787,"So, for this final time, please connect these different mines as
cheaply as you can, by yourself. Then, we will play together!"
582.7691764831543,"Now, we do it together! We need to connect the mines, so that miners can travel from
any mine to any other. Our goal is to spend as few francs as possible to build tracks!"
600.3493077754974,"We have got only four attempts to find the cheapest connection, so let's try our best! When
you think it is ready to be submitted, press submit: the system will give feedback."
619.4370000362396,"Let's start from Basel. Shall we go to Bern? Now, it is your turn. If you think we should
connect them, agree with me by pressing the check. Otherwise, disagree with the cross!"
648.7375228404999,"Great, you agree. Then, what should we pick next? Go ahead and suggest the
connection we should pick, by clicking on a mine and dragging to another."
665.7411153316498,"Great, You agree with me!
Then, its your turn, which mines should we connect?"
717.4768962860107,Let's start from Basel. Shall we go to Bern?
745.7584962844849,"Great, you agree. Then, what should we pick next? Go ahead and suggest the
connection we should pick, by clicking on a mine and dragging to another."
770.2294235229492,"Then, you think we should go from Montreux to Zermatt."
779.552036523819,"Okay, I think it is a good one too!"
788.0915634632111,"Then, shall we go from Zermatt to Interlaken?"
800.8883936405182,"Great to see that you agree.
Now it is your turn: Make a guess! What do you think I will do now?"
819.2048358917236,"I see, you think I would connect Neuchatel to Montreux."
828.4992499351501,"Okay, I think it is a good one too!"
837.2368631362915,"Then, shall we go from Montreux to Interlaken?"
850.0922825336456,"Okay, you disagree, then you don't think it is a good connection.
Now, make a guess! What do you think I will do now?"
867.5620529651642,"I see, you think I would connect Davos to Gallen."
876.8456284999847,"Definitely, that's a good choice!"
885.4077672958374,"Then, shall we go from Gallen to Zurich?"
896.3146567344666,"Great to see that you agree.
Now it is your turn: Make a guess! What do you think I will do now?"
912.6154587268829,"I see, you think I would connect Zurich to Luzern."
922.2821915149689,"Very well, let's connect them."
930.4210922718048,Let's pick Luzern to Bern.
939.5635538101196,"Okay, you disagree, then you don't think it is a good connection.
Now, make a guess! What do you think I will do now?"
961.7493507862091,"I see, you think I would connect Zermatt to Davos."
971.223023891449,I disagree. Shouldn't we go from Zermatt to Luzern instead?
982.5290443897247,"Okay, you do not agree. So, what shall we do now?"
999.1593453884125,"I see, you want to connect Zurich to Davos."
1008.114902973175,I don't think it is a good connection! Shouldn't we go from Zurich to Bern instead?
1020.713987827301,"Great, You agree with me!
Then, its your turn, which mines should we connect?"
1034.2385656833649,"I see, you want to connect Luzern to Davos."
1043.3565573692322,I don't think so! I think we should rather pick Luzern to Bern.
1053.776405096054,Great to see that you agree. Now it is your turn: what should we do?
1064.2832572460175,"Then, you think we should go from Luzern to Zermatt."
1191.2661757469177,Let's start from Basel. Shall we go to Bern?
1204.0623619556427,"Great, You agree with me!
Then, its your turn, which mines should we connect?"
1216.947318315506,"Then, you think we should go from Luzern to Zermatt."
1223.7984974384308,"I disagree with you! Rather than that, maybe we go from Luzern to Davos?"
1237.5410249233246,"Great to see that you agree.
Now it is your turn: Make a guess! What do you think I will do now?"
1254.87628531456,"Hmm, you believe I would like to go from Neuchatel to Interlaken!"
1262.7246351242065,I agree!
1269.3885145187378,"Umm, what about from Interlaken to Bern?"
1276.8665006160736,"Great to see that you agree.
Now it is your turn: Make a guess! What do you think I will do now?"
1308.3615062236786,"I see that you think we are done, and you want to submit."
1313.5194158554077,It seems we can do better!
1317.5739705562592,Let's try again!
1334.8890368938446,"Hmm, you would like to go from Interlaken to Zermatt!"
1342.1520583629608,"Definitely, that's a good choice!"
1350.47647190094,Let's pick Zermatt to Montreux.
1358.463410615921,"Great, you agree. So, what should we do now?"
1369.2378158569336,"I see, you want to connect Interlaken to Luzern."
1376.5910851955414,I disagree with you! I think we should go from Interlaken to Neuchatel instead.
