Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1623062523.249649,16,1623062523,182225540,,2,/record_1623062522251245783,Subscribing to /rosout_agg,/tmp/binarydeb/ros-noetic-rosbag-1.15.11/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1623062523.2500684,17,1623062523,249838990,,2,/record_1623062522251245783,Recording to '/home/utku/catkin_ws/src/justhink/data/3_2021-06-07_12-42-01.bag'.,/tmp/binarydeb/ros-noetic-rosbag-1.15.11/src/recorder.cpp,Recorder::startWriting,449,['/rosout']
1623062523.3406432,97,1620328282,942371420,,4,/qt_motor,Cannot read behavior of motor RightShoulderPitch!,/home/qtrobot/robot/code/qt_main/qt_hardware_interface/qt_motor/src/qt_motor.cpp,read,278,"['/rosout', '/qt_robot/joints/state', '/qt_robot/motors/states']"
1623062523.3425844,2,1620328274,596857516,,2,/qt_robot_interface,Setting volume by amixer -q cset numid=1 80%,/home/qtrobot/robot/code/qt_main/qt_robot_interface/src/setting.cpp,setVolumeCallback,23,['/rosout']
1623062523.3430805,5,1620324574,5440178,,2,/find_object_2d,object_prefix = object,/home/qtrobot/catkin_ws/src/find-object/src/ros/FindObjectROS.cpp,FindObjectROS,43,"['/rosout', '/tf']"
1623062523.3430898,9,1620324591,276330947,,2,/controller,"Started controllers: /qt_robot/head_position, /qt_robot/right_arm_position, /qt_robot/left_arm_position, /qt_robot/joints_state, /qt_robot/motors, /qt_robot/gesture",spawner,main,201,['/rosout']
1623062523.3455672,0,1620324629,746120574,,2,/robAPL,&&&&&&&&&&&&&&&&&&&&&&,/tmp/qt_main/robapl/src/robAPL_output_interface.cpp,pl_initialize__1,50,"['/rosout', '/robAPL_input_events', '/interactive_interface_notes', '/kid_tablet_images']"
1623062528.6821172,1,1623062528,512857675,,2,/justhink_robot_hr,Waiting for justhink_app/observe_activity service ...,robot.py,Robot.init_ros,754,['/rosout']
1623062541.3295865,1,1623062541,115204095,,2,/justhink_app,Starting human application window...,run_app.py,run,23,['/rosout']
1623062544.3640807,3,1623062544,363755941,,2,/justhink_robot_hr,Waiting for justhink_app/pause service ...,robot.py,Robot.init_ros,760,['/rosout']
