Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623235452.8388216,1,1623235452,838229656,init,init,init
1623235692.7112763,2,1623235692,710581064,start,start,intro
1623235693.916321,3,1623235693,915754795,start,start,indiv-illustrate
1623235709.2853217,4,1623235709,284590244,start,start,start
1623235749.4081655,5,1623235749,407365083,start,start,intro
1623235781.67134,6,1623235781,670670032,intro,intro,indiv-illustrate
1623235886.198536,7,1623235886,197734594,indiv-illustrate,indiv-illustrate,pretest-1
1623236020.5688496,8,1623236020,568026542,pretest-1,pretest-1,pretest-2
1623236075.4678764,9,1623236075,466953516,pretest-2,pretest-2,pretest-3
1623236148.7710297,10,1623236148,770412683,pretest-3,pretest-3,pretest-4
1623236188.4826877,11,1623236188,481961727,pretest-4,pretest-4,pretest-5
1623236224.4286275,12,1623236224,428392887,pretest-5,pretest-5,collab-activity
1623236869.0181334,13,1623236869,17336130,collab-activity,collab-activity,collab-activity-2
1623238097.0727928,14,1623238097,71991920,posttest-1,posttest-1,posttest-1
1623238140.689497,15,1623238140,688538312,posttest-1,posttest-1,posttest-2
1623238160.2498107,16,1623238160,249589681,posttest-2,posttest-2,posttest-3
1623238190.8643632,17,1623238190,863543510,posttest-3,posttest-3,posttest-4
1623238201.3827152,18,1623238201,382031917,posttest-4,posttest-4,posttest-5
1623238217.043977,19,1623238217,43324947,posttest-5,posttest-5,debriefing
1623238862.4367824,20,1623238862,436549663,pretest-1,pretest-1,pretest-1
1623239048.348234,21,1623239048,347496509,pretest-1,pretest-1,pretest-2
