Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,symbol,modifiers
1623241842.6607816,1,1623241842,660524845,init,65507,0
1623241846.3798146,2,1623241846,379654645,init,65507,0
1623241846.8612874,3,1623241846,861032962,init,65363,2
1623241849.6343381,4,1623241849,634127616,start,65507,0
1623241849.7615385,5,1623241849,761200904,start,65505,2
1623241849.9901156,6,1623241849,989369869,start,112,3
1623241874.833269,7,1623241874,833131790,intro,65507,0
1623241874.8902843,8,1623241874,890097141,intro,65505,2
1623241875.476523,9,1623241875,476164579,intro,65361,3
1623241876.7450104,10,1623241876,744134902,start,112,3
1623241879.0996766,11,1623241879,99484920,intro,65507,0
1623241879.3281085,12,1623241879,327851295,intro,65505,2
1623241879.7182639,13,1623241879,717997789,intro,65361,3
1623241880.8941953,14,1623241880,893747091,start,65361,3
1623241881.7569766,15,1623241881,756698369,init,65507,0
1623241882.4249613,16,1623241882,424616813,init,65363,2
1623241886.8809013,17,1623241886,880556583,start,65507,0
1623241887.0379617,18,1623241887,37676095,start,65505,2
1623241887.4536388,19,1623241887,453160047,start,65361,3
1623241890.5231016,20,1623241890,522819280,init,65362,0
1623241899.470899,21,1623241899,470502138,init,65507,0
1623241900.0334613,22,1623241900,33176898,init,65363,2
1623243944.0231748,23,1623243944,22824048,collab-activity,65507,0
1623243945.114014,24,1623243945,113709449,collab-activity,65507,0
1623243947.1103587,25,1623243947,110101938,collab-activity,65507,0
1623243947.3962984,26,1623243947,395935058,collab-activity,65505,2
1623243957.4353833,27,1623243957,435097455,collab-activity,65363,3
1623243959.6044743,28,1623243959,604080915,collab-activity-2,112,3
1623244571.2424736,1,1623244571,242216110,init,65507,0
1623244573.347195,2,1623244573,346889972,init,65363,3
1623244573.4857025,3,1623244573,485300779,init,65363,3
1623244573.6044092,4,1623244573,604067325,init,65363,3
1623244573.7477455,5,1623244573,747312784,init,65363,3
1623244573.8418846,6,1623244573,841537475,init,65363,3
1623244574.19101,7,1623244574,190677404,start,65363,3
1623244574.303774,8,1623244574,303434133,start,65363,3
1623244574.4446926,9,1623244574,444406747,intro,65363,3
1623244574.544097,10,1623244574,543779611,indiv-illustrate,65363,3
1623244574.6572213,11,1623244574,656863689,pretest-1,65363,3
1623244574.951771,12,1623244574,951507568,pretest-2,65363,3
1623244575.472212,13,1623244575,471811294,pretest-3,65363,3
1623244575.9258907,14,1623244575,925591707,pretest-4,65363,3
1623244576.5716171,15,1623244576,571254491,pretest-5,65363,3
1623244578.4534903,16,1623244578,453111886,collab-activity,65363,3
1623244584.349616,17,1623244584,349237680,collab-activity-2,65507,0
1623244584.5441995,18,1623244584,543928861,collab-activity-2,65505,2
1623244586.2073617,19,1623244586,206387281,collab-activity-2,112,3
1623245291.518535,20,1623245291,518296480,collab-activity-2,65363,0
1623245316.2332532,21,1623245316,233036756,collab-activity-2,65507,0
1623245336.6782506,22,1623245336,678002595,collab-activity-2,65507,0
1623245367.2168245,23,1623245367,216611623,collab-activity-2,65507,0
1623245367.4066293,24,1623245367,406341552,collab-activity-2,65505,2
1623245369.5881462,25,1623245369,587883472,collab-activity-2,65507,0
1623245371.7528107,26,1623245371,752612829,collab-activity-2,65507,0
1623245371.8363593,27,1623245371,836097240,collab-activity-2,65505,2
1623245373.205137,28,1623245373,204749107,collab-activity-2,65363,3
