Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,x,y,dx,dy,left,right
1623241840.4770489,1,1623241840,476785898,init,1913,490,0,0,True,False
1623241840.4836538,2,1623241840,483460903,init,1861,502,-52,12,True,False
1623241840.5243945,3,1623241840,524131059,init,1829,512,-32,10,True,False
1623241840.5244074,4,1623241840,524209260,init,1777,526,-52,14,True,False
1623241840.5253472,5,1623241840,525222301,init,1653,572,0,0,True,False
1623241840.5320408,6,1623241840,531749963,init,1640,578,-13,6,True,False
1623241840.5365353,7,1623241840,536330938,init,1614,588,-26,10,True,False
1623241840.5440922,8,1623241840,543805837,init,1580,606,-34,18,True,False
1623241840.5540907,9,1623241840,553846597,init,1558,622,-22,16,True,False
1623241840.5586088,10,1623241840,558423757,init,1538,638,-20,16,True,False
1623241840.5685756,11,1623241840,568283557,init,1527,647,-11,9,True,False
1623241840.5740917,12,1623241840,573551416,init,1507,665,-20,18,True,False
1623241840.5811427,13,1623241840,580971717,init,1500,672,-7,7,True,False
1623241840.621287,14,1623241840,621039390,init,1481,691,-19,19,True,False
1623241840.6213553,15,1623241840,621227979,init,1469,707,-12,16,True,False
1623241840.6214797,16,1623241840,621324539,init,1449,733,-20,26,True,False
1623241840.6214936,17,1623241840,621375083,init,1435,753,-14,20,True,False
1623241840.6216297,18,1623241840,621454238,init,1421,781,-14,28,True,False
1623241840.6288838,19,1623241840,628711462,init,1417,789,-4,8,True,False
1623241840.633938,20,1623241840,633785247,init,1412,807,-5,18,True,False
1623241840.6416967,21,1623241840,641508102,init,1410,827,-2,20,True,False
1623241840.6511624,22,1623241840,650898694,init,1410,842,0,15,True,False
1623241840.6565034,23,1623241840,656272411,init,1410,866,0,24,True,False
1623241840.6666567,24,1623241840,666421175,init,1412,884,2,18,True,False
1623241840.671317,25,1623241840,671113729,init,1414,898,2,14,True,False
1623241840.6786115,26,1623241840,678433418,init,1416,914,2,16,True,False
1623241840.7207873,27,1623241840,720498085,init,1420,934,4,20,True,False
1623241840.7209525,28,1623241840,720683813,init,1423,941,3,7,True,False
1623241840.7213328,29,1623241840,720795631,init,1425,944,2,3,True,False
1623241840.721342,30,1623241840,720891952,init,1429,952,4,8,True,False
1623241840.7213964,31,1623241840,720953941,init,1432,956,3,4,True,False
1623241840.7282224,32,1623241840,727975845,init,1434,959,2,3,True,False
1623241840.7333689,33,1623241840,733119964,init,1434,960,0,1,True,False
1623241840.7426374,34,1623241840,742340326,init,1434,961,0,1,True,False
1623241840.7471657,35,1623241840,746904134,init,1434,962,0,1,True,False
1623241840.7536867,36,1623241840,753469944,init,1434,963,0,1,True,False
1623241840.761267,37,1623241840,760985612,init,1433,963,-1,0,True,False
1623241840.770804,38,1623241840,770457029,init,1431,964,-2,1,True,False
1623241840.77625,39,1623241840,776017904,init,1429,965,-2,1,True,False
1623241840.7836325,40,1623241840,783447980,init,1427,965,-2,0,True,False
1623241840.8227117,41,1623241840,822105884,init,1425,965,-2,0,True,False
1623241840.822725,42,1623241840,822233438,init,1423,965,-2,0,True,False
1623241840.822735,43,1623241840,822311401,init,1419,965,-4,0,True,False
1623241840.8227394,44,1623241840,822369098,init,1413,965,-6,0,True,False
1623241840.8227415,45,1623241840,822425842,init,1404,964,-9,-1,True,False
1623241841.6762862,46,1623241841,675983190,init,1305,913,0,0,True,False
1623241841.683643,47,1623241841,683449268,init,1304,913,-1,0,True,False
1623241841.6942585,48,1623241841,693917036,init,1303,913,-1,0,True,False
1623241841.6985395,49,1623241841,698422670,init,1302,913,-1,0,True,False
1623241841.7062209,50,1623241841,706030607,init,1300,913,-2,0,True,False
1623241841.7136729,51,1623241841,713488101,init,1299,913,-1,0,True,False
1623241841.7236438,52,1623241841,723358392,init,1298,913,-1,0,True,False
1623241841.7287939,53,1623241841,728532552,init,1296,913,-2,0,True,False
1623241841.7360756,54,1623241841,735899209,init,1295,913,-1,0,True,False
1623241841.7438126,55,1623241841,743531227,init,1292,911,-3,-2,True,False
1623241841.7514231,56,1623241841,751125097,init,1290,910,-2,-1,True,False
1623241841.7587023,57,1623241841,758482694,init,1287,908,-3,-2,True,False
1623241841.7661662,58,1623241841,765943288,init,1285,907,-2,-1,True,False
1623241841.7789347,59,1623241841,778698444,init,1284,906,-1,-1,True,False
1623241841.781025,60,1623241841,780861139,init,1283,904,-1,-2,True,False
1623241841.7886345,61,1623241841,788471221,init,1281,903,-2,-1,True,False
1623241841.7961953,62,1623241841,795973777,init,1279,901,-2,-2,True,False
1623241841.806607,63,1623241841,806324243,init,1277,900,-2,-1,True,False
1623241841.811105,64,1623241841,810877323,init,1275,898,-2,-2,True,False
1623241841.8188808,65,1623241841,818632841,init,1273,896,-2,-2,True,False
1623241841.826229,66,1623241841,825989007,init,1271,894,-2,-2,True,False
1623241841.8353698,67,1623241841,835107803,init,1268,892,-3,-2,True,False
1623241841.8468962,68,1623241841,846632719,init,1264,890,-4,-2,True,False
1623241841.8487773,69,1623241841,848578929,init,1260,886,-4,-4,True,False
1623241841.8561108,70,1623241841,855911254,init,1256,884,-4,-2,True,False
1623241841.8636081,71,1623241841,863395929,init,1254,882,-2,-2,True,False
1623241841.8738549,72,1623241841,873561859,init,1251,879,-3,-3,True,False
1623241841.878661,73,1623241841,878432035,init,1249,876,-2,-3,True,False
1623241841.8861644,74,1623241841,885895967,init,1247,874,-2,-2,True,False
1623241841.893614,75,1623241841,893344402,init,1245,872,-2,-2,True,False
1623241841.9036834,76,1623241841,903405427,init,1242,869,-3,-3,True,False
1623241841.9086215,77,1623241841,908396959,init,1239,867,-3,-2,True,False
1623241841.9160576,78,1623241841,915843248,init,1237,864,-2,-3,True,False
1623241841.9236238,79,1623241841,923387050,init,1234,862,-3,-2,True,False
1623241841.9326866,80,1623241841,932475566,init,1230,858,-4,-4,True,False
1623241841.9386525,81,1623241841,938405275,init,1228,856,-2,-2,True,False
1623241841.9462738,82,1623241841,946005105,init,1226,855,-2,-1,True,False
1623241841.9601085,83,1623241841,959759473,init,1223,852,-3,-3,True,False
1623241841.961313,84,1623241841,961167097,init,1218,847,-5,-5,True,False
1623241841.9686205,85,1623241841,968423604,init,1214,842,-4,-5,True,False
1623241841.9761183,86,1623241841,975946664,init,1213,840,-1,-2,True,False
1623241841.9879305,87,1623241841,987609624,init,1210,836,-3,-4,True,False
1623241841.991199,88,1623241841,990969896,init,1207,835,-3,-1,True,False
1623241841.998622,89,1623241841,998416185,init,1205,832,-2,-3,True,False
1623241842.0062633,90,1623241842,5977153,init,1204,831,-1,-1,True,False
1623241842.0156076,91,1623241842,15319108,init,1202,830,-2,-1,True,False
1623241842.0287542,92,1623241842,28485298,init,1202,829,0,-1,True,False
1623241842.0294275,93,1623241842,29289960,init,1201,829,-1,0,True,False
1623241842.2689428,94,1623241842,268596410,init,1201,828,0,-1,True,False
1623241842.27625,95,1623241842,275984048,init,1202,828,1,0,True,False
1623241842.2838688,96,1623241842,283636808,init,1203,827,1,-1,True,False
1623241842.291315,97,1623241842,291112899,init,1203,826,0,-1,True,False
1623241844.40845,98,1623241844,408067226,init,1208,832,5,6,True,False
1623241844.4084632,99,1623241844,408175468,init,1226,855,18,23,True,False
1623241844.4209952,100,1623241844,420368194,init,1296,947,70,92,True,False
1623241844.4218102,101,1623241844,421675920,init,1354,1007,58,60,True,False
1623241844.456288,102,1623241844,455998659,init,1382,1033,28,26,True,False
1623241844.456428,103,1623241844,456115484,init,1456,1080,74,47,True,False
1623241844.4564679,104,1623241844,456174135,init,1536,1080,80,0,True,False
1623241844.456477,105,1623241844,456244945,init,1614,1080,78,0,True,False
1623241844.494451,106,1623241844,494060039,init,1720,1080,106,0,True,False
1623241844.4944706,107,1623241844,494161605,init,1830,1080,110,0,True,False
1623241844.4945455,108,1623241844,494209766,init,1918,1080,88,0,True,False
1623241844.4945507,109,1623241844,494245290,init,1919,1080,1,0,True,False
1623241844.4946582,110,1623241844,494277477,init,1919,1080,0,0,True,False
1623241844.4991202,111,1623241844,498844385,init,1919,1080,0,0,True,False
1623241844.5035965,112,1623241844,503450393,init,1919,1080,0,0,True,False
1623241844.5111773,113,1623241844,510938882,init,1919,1080,0,0,True,False
1623241844.5537944,114,1623241844,553271055,init,1895,1080,-24,0,True,False
1623241844.553814,115,1623241844,553401231,init,1863,1080,-32,0,True,False
1623241844.5538201,116,1623241844,553459167,init,1825,1080,-38,0,True,False
1623241844.5538247,117,1623241844,553486347,init,1803,1080,-22,0,True,False
1623241844.553828,118,1623241844,553513050,init,1725,1080,-78,0,True,False
1623241844.5867307,119,1623241844,586354255,init,1655,1080,-70,0,True,False
1623241844.5867436,120,1623241844,586445093,init,1567,1080,-88,0,True,False
1623241844.5867486,121,1623241844,586482524,init,1479,1080,-88,0,True,False
1623241844.5867581,122,1623241844,586514711,init,1405,1080,-74,0,True,False
1623241844.5867662,123,1623241844,586543321,init,1355,1080,-50,0,True,False
1623241844.8216496,124,1623241844,821298599,init,564,1080,0,0,True,False
1623241844.8216624,125,1623241844,821381092,init,546,1080,-18,0,True,False
1623241844.8216777,126,1623241844,821419954,init,522,1080,-24,0,True,False
1623241844.821684,127,1623241844,821453571,init,516,1080,-6,0,True,False
1623241844.8217041,128,1623241844,821484088,init,511,1080,-5,0,True,False
1623241844.8593216,129,1623241844,858989715,init,509,1080,-2,0,True,False
1623241844.8593411,130,1623241844,859081268,init,506,1080,-3,0,True,False
1623241844.8593469,131,1623241844,859124183,init,506,1080,0,0,True,False
1623241844.859355,132,1623241844,859160423,init,506,1080,0,0,True,False
1623241844.8593607,133,1623241844,859194517,init,506,1080,0,0,True,False
1623241844.870716,134,1623241844,870475053,init,508,1080,2,0,True,False
1623241844.8713167,135,1623241844,871166944,init,513,1080,5,0,True,False
1623241844.9056745,136,1623241844,905256271,init,519,1080,6,0,True,False
1623241844.9056854,137,1623241844,905343532,init,524,1080,5,0,True,False
1623241844.9056869,138,1623241844,905391931,init,533,1080,9,0,True,False
1623241844.9056928,139,1623241844,905428886,init,543,1080,10,0,True,False
1623241844.9128265,140,1623241844,912532329,init,550,1080,7,0,True,False
1623241844.9469397,141,1623241844,946698665,init,563,1080,13,0,True,False
1623241844.9469943,142,1623241844,946785449,init,566,1080,3,0,True,False
1623241844.9470344,143,1623241844,946846961,init,572,1080,6,0,True,False
1623241844.947107,144,1623241844,946887731,init,588,1080,16,0,True,False
1623241845.6809793,145,1623241845,680719852,init,652,1001,0,0,True,False
1623241845.683998,146,1623241845,683839321,init,658,996,6,-5,True,False
1623241845.69197,147,1623241845,691636562,init,670,986,12,-10,True,False
1623241845.7257378,148,1623241845,725501298,init,686,972,16,-14,True,False
1623241845.725746,149,1623241845,725609779,init,697,960,11,-12,True,False
1623241845.7259579,150,1623241845,725733280,init,708,952,11,-8,True,False
1623241845.7259634,151,1623241845,725791931,init,721,934,13,-18,True,False
1623241845.7274456,152,1623241845,727328538,init,735,920,14,-14,True,False
1623241845.7384822,153,1623241845,738181114,init,740,917,5,-3,True,False
1623241845.7742121,154,1623241845,773963451,init,755,902,15,-15,True,False
1623241845.7742245,155,1623241845,774052619,init,777,880,22,-22,True,False
1623241845.7743812,156,1623241845,774167776,init,793,866,16,-14,True,False
1623241845.7743902,157,1623241845,774224042,init,815,844,22,-22,True,False
1623241845.7743928,158,1623241845,774264812,init,831,830,16,-14,True,False
1623241845.8128896,159,1623241845,812644958,init,861,806,30,-24,True,False
1623241845.813101,160,1623241845,812851428,init,871,798,10,-8,True,False
