Time,data
1623241900.5450613,QT/hi
1623241915.4063168,QT/show_tablet
1623241950.102238,QT/show_tablet
1623241984.851094,QT/show_tablet
1623242001.0600154,QT/happy
1623242019.4904788,epfl/justhink/point_front_head_forward
1623242024.3101885,QT/yes
1623242056.0513911,QT/thanks
1623242065.8827565,QT/show_tablet
1623242080.8064246,epfl/justhink/point_front_head_forward
1623242163.4670017,QT/curious
1623242179.041438,QT/strong
1623242253.927886,epfl/justhink/point_front_head_forward
1623242270.3728693,QT/challenge
1623242316.3211737,QT/yes
1623242335.1031315,QT/curious
1623242431.683779,QT/curious
1623242492.9718213,QT/show_tablet
1623242527.454355,epfl/justhink/show_QT_head_down
1623242548.9033866,epfl/justhink/point_front_head_forward
1623242559.7006936,QT/happy
1623242574.714059,QT/yawn
1623242582.4970715,QT/so
1623242587.6193566,home_head_via_service
1623242591.676342,QT/yes
1623242595.8036077,QT/so
1623242599.9577117,epfl/justhink/show_QT_head_down
1623242605.021457,epfl/justhink/point_front_head_forward
1623242620.1764383,QT/happy
1623242630.2103066,QT/yawn
1623242636.701219,QT/rappel
1623242642.1042109,home_head_via_service
1623242646.3421166,QT/no
1623242679.3275456,QT/happy
1623242686.3258302,QT/yawn
1623242709.8847353,QT/rappel
1623242714.7297802,home_head_via_service
1623242718.8706815,QT/no
1623242726.2651107,QT/so
1623242732.4450507,QT/happy
1623242738.959246,QT/yawn
1623242746.5944407,QT/so
1623242751.4632401,home_head_via_service
1623242755.5149527,QT/yes
1623242763.339069,epfl/justhink/show_QT_head_down
1623242767.2254598,epfl/justhink/point_front_head_forward
1623242809.5353172,QT/happy
1623242819.6530685,QT/yawn
1623242843.674112,QT/so
1623242848.9487069,home_head_via_service
1623242853.0099614,QT/yes
1623242855.084023,QT/so
1623242859.2206328,epfl/justhink/show_QT_head_down
1623242864.5039663,epfl/justhink/point_front_head_forward
1623242870.7774305,QT/happy
1623242879.6632452,QT/yawn
1623242893.737108,QT/so
1623242898.5265667,home_head_via_service
1623242902.807265,QT/yes
1623242909.0256097,epfl/justhink/show_QT_head_down
1623242909.032602,QT/sad
1623242912.8374684,epfl/justhink/point_front_head_forward
1623242913.4034727,QT/happy
1623242921.735058,epfl/justhink/show_QT_head_down
1623242925.948682,epfl/justhink/point_front_head_forward
1623242930.985427,QT/happy
1623242939.465759,QT/yawn
1623242952.70618,QT/so
1623242957.9015815,home_head_via_service
1623242961.9896488,QT/no
1623242979.5796113,QT/happy
1623242986.5650058,QT/yawn
1623243009.3084688,QT/so
1623243014.1819835,home_head_via_service
1623243018.3116329,QT/yes
1623243024.672119,epfl/justhink/show_QT_head_down
1623243029.1698737,epfl/justhink/point_front_head_forward
1623243047.0166075,QT/happy
1623243053.7522187,QT/yawn
1623243065.8808486,QT/so
1623243070.3457062,home_head_via_service
1623243074.6130388,QT/yes
1623243078.434644,QT/so
1623243082.5673,epfl/justhink/show_QT_head_down
1623243087.3282976,epfl/justhink/point_front_head_forward
1623243100.616015,QT/happy
1623243107.6087155,QT/yawn
1623243116.874442,QT/rappel
1623243121.7418182,home_head_via_service
1623243125.8076084,QT/yes
1623243133.6192033,epfl/justhink/show_QT_head_down
1623243138.733106,epfl/justhink/point_front_head_forward
1623243141.7980373,QT/happy
1623243148.973001,QT/yawn
1623243157.3635132,QT/so
1623243162.7031875,home_head_via_service
1623243166.9752572,QT/yes
1623243170.6880913,QT/so
1623243174.8456728,epfl/justhink/show_QT_head_down
1623243178.876202,epfl/justhink/point_front_head_forward
1623243185.521426,QT/happy
1623243191.9828496,QT/yawn
1623243205.7193615,QT/sad
1623243209.5702388,QT/happy
1623243219.9396913,QT/rappel
1623243224.7835615,home_head_via_service
1623243229.0055556,QT/yes
1623243236.855542,epfl/justhink/show_QT_head_down
1623243240.9383729,epfl/justhink/point_front_head_forward
1623243245.465432,QT/happy
1623243255.6869667,QT/yawn
1623243270.3960533,QT/so
1623243275.766584,home_head_via_service
1623243279.944034,QT/yes
1623243287.6386564,epfl/justhink/show_QT_head_down
1623243291.924371,epfl/justhink/point_front_head_forward
1623243299.347462,QT/happy
1623243307.7979312,QT/yawn
1623243320.8198278,QT/so
1623243325.9360628,home_head_via_service
1623243330.002037,QT/yes
1623243336.5797195,epfl/justhink/show_QT_head_down
1623243341.4912703,epfl/justhink/point_front_head_forward
1623243346.0519636,QT/happy
1623243356.2355044,QT/yawn
1623243361.6301618,QT/so
1623243366.7338922,home_head_via_service
1623243370.990679,QT/yes
1623243375.073921,QT/so
1623243379.1888845,epfl/justhink/show_QT_head_down
1623243384.7057157,epfl/justhink/point_front_head_forward
1623243450.5056467,QT/sad
1623243467.5450776,QT/so
1623243472.569943,home_head_via_service
1623243476.6280763,QT/yes
1623243484.6708977,epfl/justhink/show_QT_head_down
1623243489.1551902,epfl/justhink/point_front_head_forward
1623243519.2490273,QT/sad
1623243532.476676,QT/rappel
1623243537.6955822,home_head_via_service
1623243541.7892575,QT/yes
1623243546.0855343,QT/so
1623243550.233615,epfl/justhink/show_QT_head_down
1623243554.4819314,epfl/justhink/point_front_head_forward
1623243557.7865646,QT/happy
1623243566.361088,QT/yawn
1623243578.054781,QT/sad
1623243585.589285,QT/happy
1623243599.0171993,QT/so
1623243603.84583,home_head_via_service
1623243607.886484,QT/yes
1623243609.986776,QT/rappel
1623243614.0969133,epfl/justhink/show_QT_head_down
1623243619.4136145,epfl/justhink/point_front_head_forward
1623243626.5249355,QT/happy
1623243635.1744256,QT/yawn
1623243657.3154788,QT/so
1623243662.6328487,home_head_via_service
1623243666.8866289,QT/yes
1623243673.0880983,epfl/justhink/show_QT_head_down
1623243678.2493412,epfl/justhink/point_front_head_forward
1623243693.3900776,QT/sad
1623243707.174164,QT/so
1623243712.4044337,home_head_via_service
1623243716.6831641,QT/yes
1623243720.5777264,QT/so
1623243724.7157533,epfl/justhink/show_QT_head_down
1623243728.3598518,epfl/justhink/point_front_head_forward
1623243777.6242154,QT/happy
1623243784.0704308,QT/yawn
1623243788.9126909,QT/so
1623243793.4943628,home_head_via_service
1623243797.52128,QT/yes
1623243801.47649,QT/so
1623243805.5810814,epfl/justhink/show_QT_head_down
1623243810.0739014,epfl/justhink/point_front_head_forward
1623243813.9691834,QT/sad
1623243827.0530536,QT/so
1623243832.0142994,home_head_via_service
1623243836.280002,QT/protect
1623243839.9792242,QT/so
1623243844.0831594,epfl/justhink/show_QT_head_down
1623243848.78861,epfl/justhink/point_front_head_forward
1623243858.7420647,QT/happy
1623243867.1116369,QT/yawn
1623243904.693282,QT/so
1623243909.622715,home_head_via_service
1623243913.6649077,QT/yes
1623243921.7430117,epfl/justhink/show_QT_head_down
1623243926.814308,epfl/justhink/point_front_head_forward
1623243930.1643834,QT/sad
1623243945.260731,QT/sad
1623243949.317095,QT/happy
1623243959.6049483,QT/show_tablet
1623243974.7733643,epfl/justhink/show_QT_head_down
1623243983.1510084,epfl/justhink/point_front_head_forward
1623243987.3864315,QT/happy
1623243996.0430362,QT/yawn
1623244000.8419123,QT/so
1623244005.8748934,home_head_via_service
1623244009.9384327,QT/no
1623244026.2893639,QT/happy
1623244034.744677,QT/yawn
1623244062.1755888,QT/so
1623244067.3367918,home_head_via_service
1623244071.5986676,QT/yes
1623244075.702281,QT/so
1623244079.810158,epfl/justhink/show_QT_head_down
1623244085.1414356,epfl/justhink/point_front_head_forward
1623244089.816421,QT/sad
1623244102.2776034,QT/so
1623244107.253216,home_head_via_service
1623244111.3281257,QT/no
1623244118.5062578,QT/so
1623244122.5430284,QT/happy
1623244131.2038805,QT/yawn
1623244153.4580822,QT/rappel
1623244158.4519184,home_head_via_service
1623244162.721616,QT/yes
1623244171.1619065,epfl/justhink/show_QT_head_down
1623244176.064692,epfl/justhink/point_front_head_forward
1623244186.6282005,QT/sad
1623244201.1440547,QT/so
1623244205.9672441,home_head_via_service
1623244210.007561,QT/yes
1623244212.3116677,QT/so
1623244216.4339094,epfl/justhink/show_QT_head_down
1623244221.7267413,epfl/justhink/point_front_head_forward
1623244244.0081656,QT/sad
1623244270.3501673,QT/so
1623244276.0082452,home_head_via_service
1623244280.0853345,QT/yes
1623244282.1429062,QT/so
1623244286.251229,epfl/justhink/show_QT_head_down
1623244291.8713615,epfl/justhink/point_front_head_forward
1623244308.1932638,QT/sad
1623244324.9667854,QT/so
1623244329.8825955,home_head_via_service
1623244334.121097,QT/bored
1623244343.2183452,epfl/justhink/show_QT_head_down
1623244347.1683555,epfl/justhink/point_front_head_forward
1623244353.811702,QT/sad
1623244371.661283,QT/sad
1623244375.714868,QT/happy
1623244394.3227243,QT/so
1623244399.5023007,home_head_via_service
1623244403.5534704,QT/yes
1623244406.0506635,QT/so
1623244410.1850681,epfl/justhink/show_QT_head_down
1623244414.4508529,epfl/justhink/point_front_head_forward
1623244427.0927649,QT/sad
1623244441.0003808,QT/so
1623244446.4240103,home_head_via_service
1623244450.696778,QT/protect
1623244460.1307395,epfl/justhink/show_QT_head_down
1623244464.2152498,epfl/justhink/point_front_head_forward
1623244469.1490433,QT/sad
1623244491.8046966,QT/rappel
1623244496.3774362,home_head_via_service
1623244500.4469843,QT/yes
1623244508.872309,epfl/justhink/show_QT_head_down
1623244513.9913602,epfl/justhink/point_front_head_forward
1623244523.4572368,QT/happy
1623244532.2068996,QT/yawn
1623244534.2481282,QT/happy
1623244586.2082088,QT/show_tablet
1623244601.6911938,epfl/justhink/show_QT_head_down
1623244610.034079,epfl/justhink/point_front_head_forward
1623244621.868818,QT/sad
1623244636.190942,QT/so
1623244640.9666982,home_head_via_service
1623244645.0475116,QT/no
1623244652.8350282,QT/so
1623244656.0663579,QT/happy
1623244666.3628497,QT/yawn
1623244672.4440513,QT/so
1623244678.0380757,home_head_via_service
1623244682.3042011,QT/yes
1623244684.5794728,QT/so
1623244688.7121298,epfl/justhink/show_QT_head_down
1623244694.0040445,epfl/justhink/point_front_head_forward
1623244698.196768,QT/sad
1623244715.7252612,QT/so
1623244721.2479835,home_head_via_service
1623244725.3166103,QT/yes
1623244727.1575375,QT/so
1623244731.315942,epfl/justhink/show_QT_head_down
1623244735.7810302,epfl/justhink/point_front_head_forward
1623244741.488083,QT/sad
1623244752.605323,QT/so
1623244757.7049792,home_head_via_service
1623244761.778975,QT/yes
1623244763.9566727,QT/so
1623244768.0672765,epfl/justhink/show_QT_head_down
1623244772.27131,epfl/justhink/point_front_head_forward
1623244786.2938163,QT/happy
1623244794.5592058,QT/yawn
1623244799.689389,QT/so
1623244804.8049223,home_head_via_service
1623244808.8680863,QT/yes
1623244813.1947827,QT/so
1623244817.325399,epfl/justhink/show_QT_head_down
1623244822.0082626,epfl/justhink/point_front_head_forward
1623244829.2222185,QT/sad
1623244843.7062938,QT/so
1623244848.439239,home_head_via_service
1623244852.6924257,QT/no
1623244860.50576,QT/rappel
1623244889.3085804,QT/happy
1623244897.7781081,QT/yawn
1623244903.0331802,QT/so
1623244908.0274105,home_head_via_service
1623244912.1112382,QT/yes
1623244916.2112398,QT/rappel
1623244920.3436654,epfl/justhink/show_QT_head_down
1623244925.4314497,epfl/justhink/point_front_head_forward
1623244939.9550242,QT/happy
1623244948.4692845,QT/yawn
1623244955.9618556,QT/sad
1623244959.9162996,QT/happy
1623244974.740909,QT/so
1623244979.7203565,home_head_via_service
1623244983.978859,QT/no
1623244994.412214,QT/happy
1623245002.8491945,QT/yawn
1623245006.8648462,QT/so
1623245011.2501607,home_head_via_service
1623245015.5293763,QT/yes
1623245017.7977147,QT/so
1623245021.9423733,epfl/justhink/show_QT_head_down
1623245026.8066254,epfl/justhink/point_front_head_forward
1623245029.8749263,QT/happy
1623245038.4772325,QT/yawn
1623245049.1021454,QT/so
1623245054.2616253,home_head_via_service
1623245058.5002275,QT/yes
1623245066.5587687,epfl/justhink/show_QT_head_down
1623245072.2741282,epfl/justhink/point_front_head_forward
1623245074.982532,QT/happy
1623245082.123704,QT/yawn
1623245109.3818045,QT/so
1623245114.4731333,home_head_via_service
1623245118.7638628,QT/bored
1623245125.1090136,QT/rappel
1623245129.217679,epfl/justhink/show_QT_head_down
1623245133.095449,epfl/justhink/point_front_head_forward
1623245143.6787248,QT/sad
1623245161.9546497,QT/so
1623245167.1019056,home_head_via_service
1623245171.2010045,QT/yes
1623245178.9692607,epfl/justhink/show_QT_head_down
1623245183.2829745,epfl/justhink/point_front_head_forward
1623245187.4349103,QT/happy
1623245195.767322,QT/yawn
1623245213.3696003,QT/so
1623245217.8927727,home_head_via_service
1623245222.0711153,QT/bored
1623245230.9981434,epfl/justhink/show_QT_head_down
1623245235.095927,epfl/justhink/point_front_head_forward
1623245239.8400135,QT/happy
1623245248.1967514,QT/yawn
1623245259.4853065,QT/so
1623245264.793599,home_head_via_service
1623245268.8962479,QT/yes
1623245275.4643269,epfl/justhink/show_QT_head_down
1623245280.5559826,epfl/justhink/point_front_head_forward
1623245285.3561566,QT/happy
1623245295.5155702,QT/yawn
1623245308.6396513,QT/so
1623245313.3324454,home_head_via_service
