Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1623241847.34839,9919,1623241847,344818353,,2,/justhink_app,"/justhink_app published to /justhink_app/activity_transition:
 header: 
  seq: 1
  stamp: 
    secs: 1623241847
    nsecs: 333620071
  frame_id: ""init""
current: ""init""
next: ""start""",human_window.py,log_publish,1124,"['/justhink_app/key_press', '/justhink_app/mouse_press', '/justhink_app/button_press', '/rosout', '/justhink_app/mouse_release', '/justhink_app/key_release', '/justhink_app/mouse_drag', '/justhink_app/activity_transition', '/justhink_app/mouse_motion', '/justhink_app/act', '/justhink_app/state_transition']"
1623241850.0084734,9920,1623241850,2851247,,2,/justhink_app,"/justhink_app published to /justhink_app/activity_transition:
 header: 
  seq: 2
  stamp: 
    secs: 1623241849
    nsecs: 989463806
  frame_id: ""start""
current: ""start""
next: ""start""",human_window.py,log_publish,1124,"['/justhink_app/key_press', '/justhink_app/mouse_press', '/justhink_app/button_press', '/rosout', '/justhink_app/mouse_release', '/justhink_app/key_release', '/justhink_app/mouse_drag', '/justhink_app/activity_transition', '/justhink_app/mouse_motion', '/justhink_app/act', '/justhink_app/state_transition']"
1623241856.0537937,9921,1620346153,966155852,,4,/qt_motor,getMotorBehaviourRaw : servo is not responding,/home/qtrobot/robot/code/qt_main/qt_hardware_interface/qt_motor/src/qt_motor.cpp,getMotorBehaviourRaw,430,"['/rosout', '/qt_robot/joints/state', '/qt_robot/motors/states']"
1623241856.057835,9922,1620346153,966359550,,4,/qt_motor,Cannot read behavior of motor HeadYaw!,/home/qtrobot/robot/code/qt_main/qt_hardware_interface/qt_motor/src/qt_motor.cpp,read,278,"['/rosout', '/qt_robot/joints/state', '/qt_robot/motors/states']"
1623241873.9014585,9923,1623241873,898752212,,2,/justhink_app,"/justhink_app published to /justhink_app/activity_transition:
 header: 
  seq: 3
  stamp: 
    secs: 1623241873
    nsecs: 889819622
  frame_id: ""start""
current: ""start""
next: ""intro""",human_window.py,log_publish,1124,"['/justhink_app/key_press', '/justhink_app/mouse_press', '/justhink_app/button_press', '/rosout', '/justhink_app/mouse_release', '/justhink_app/key_release', '/justhink_app/mouse_drag', '/justhink_app/activity_transition', '/justhink_app/mouse_motion', '/justhink_app/act', '/justhink_app/state_transition']"
1623241876.761401,9924,1623241876,757190465,,2,/justhink_app,"/justhink_app published to /justhink_app/activity_transition:
 header: 
  seq: 4
  stamp: 
    secs: 1623241876
    nsecs: 744222402
  frame_id: ""start""
current: ""start""
next: ""start""",human_window.py,log_publish,1124,"['/justhink_app/key_press', '/justhink_app/mouse_press', '/justhink_app/button_press', '/rosout', '/justhink_app/mouse_release', '/justhink_app/key_release', '/justhink_app/mouse_drag', '/justhink_app/activity_transition', '/justhink_app/mouse_motion', '/justhink_app/act', '/justhink_app/state_transition']"
1623241878.7747169,9925,1623241878,770384550,,2,/justhink_app,"/justhink_app published to /justhink_app/activity_transition:
 header: 
  seq: 5
  stamp: 
    secs: 1623241878
    nsecs: 760575056
  frame_id: ""start""
current: ""start""
next: ""intro""",human_window.py,log_publish,1124,"['/justhink_app/key_press', '/justhink_app/mouse_press', '/justhink_app/button_press', '/rosout', '/justhink_app/mouse_release', '/justhink_app/key_release', '/justhink_app/mouse_drag', '/justhink_app/activity_transition', '/justhink_app/mouse_motion', '/justhink_app/act', '/justhink_app/state_transition']"
1623241883.0502753,9926,1623241883,46722412,,2,/justhink_app,"/justhink_app published to /justhink_app/activity_transition:
 header: 
  seq: 6
  stamp: 
    secs: 1623241883
    nsecs:  37212848
  frame_id: ""init""
current: ""init""
next: ""start""",human_window.py,log_publish,1124,"['/justhink_app/key_press', '/justhink_app/mouse_press', '/justhink_app/button_press', '/rosout', '/justhink_app/mouse_release', '/justhink_app/key_release', '/justhink_app/mouse_drag', '/justhink_app/activity_transition', '/justhink_app/mouse_motion', '/justhink_app/act', '/justhink_app/state_transition']"
1623241897.3360353,9927,1623241897,316484689,,2,/justhink_robot_hr,Waiting for /qt_robot/speech/config service ...,robot.py,Robot.init_ros,1001,['/rosout']
1623241897.3530579,9928,1623241897,345014572,,2,/justhink_robot_hr,Waiting for /qt_robot/motors/home service ...,robot.py,Robot.init_ros,1009,['/rosout']
1623241897.5883224,9929,1623241897,584727764,,2,/justhink_robot_hr,"Robot speech configured: speed=75, language=en-US",robot.py,Robot.__init__,121,"['/qt_robot/emotion/show', '/justhink_robot_hr/log_gesture', '/justhink_robot_hr/log_set_activity', '/justhink_robot_hr/log_pause', '/justhink_robot_hr/log_observe_state', '/justhink_app/state_transition', '/justhink_robot_hr/log_ask_guess', '/justhink_robot_hr/log_observe_activity', '/rosout', '/justhink_robot_hr/log_speak', '/justhink_robot_hr/log_act', '/justhink_robot_hr/log_set_robot_text', '/justhink_app/activity_transition', '/justhink_robot_hr/log_expression', '/qt_robot/gesture/play']"
1623241897.601169,9930,1623241897,597145318,,2,/justhink_robot_hr,Calling service /justhink_app/observe_activity,robot.py,log_service_call,1424,"['/qt_robot/emotion/show', '/justhink_robot_hr/log_gesture', '/justhink_robot_hr/log_set_activity', '/justhink_robot_hr/log_pause', '/justhink_robot_hr/log_observe_state', '/justhink_app/state_transition', '/justhink_robot_hr/log_ask_guess', '/justhink_robot_hr/log_observe_activity', '/rosout', '/justhink_robot_hr/log_speak', '/justhink_robot_hr/log_act', '/justhink_robot_hr/log_set_robot_text', '/justhink_app/activity_transition', '/justhink_robot_hr/log_expression', '/qt_robot/gesture/play']"
1623241897.62914,9931,1623241897,618061304,,2,/justhink_app,"Responding service /justhink_app/observe_activity
 Data: 
 
 Response: 
 init",human_window.py,log_service_response,1135,"['/justhink_app/key_press', '/justhink_app/mouse_press', '/justhink_app/button_press', '/rosout', '/justhink_app/mouse_release', '/justhink_app/key_release', '/justhink_app/mouse_drag', '/justhink_app/activity_transition', '/justhink_app/mouse_motion', '/justhink_app/act', '/justhink_app/state_transition']"
1623241897.6392539,9932,1623241897,635005950,,2,/justhink_robot_hr,"Response: current: ""init""",robot.py,Robot.observe_activity,870,"['/qt_robot/emotion/show', '/justhink_robot_hr/log_gesture', '/justhink_robot_hr/log_set_activity', '/justhink_robot_hr/log_pause', '/justhink_robot_hr/log_observe_state', '/justhink_app/state_transition', '/justhink_robot_hr/log_ask_guess', '/justhink_robot_hr/log_observe_activity', '/rosout', '/justhink_robot_hr/log_speak', '/justhink_robot_hr/log_act', '/justhink_robot_hr/log_set_robot_text', '/justhink_app/activity_transition', '/justhink_robot_hr/log_expression', '/qt_robot/gesture/play']"
1623241897.6497016,9933,1623241897,643833637,,2,/justhink_robot_hr,"Calling service /justhink_app/set_robot_text
 Data: 
 ",robot.py,log_service_call,1424,"['/qt_robot/emotion/show', '/justhink_robot_hr/log_gesture', '/justhink_robot_hr/log_set_activity', '/justhink_robot_hr/log_pause', '/justhink_robot_hr/log_observe_state', '/justhink_app/state_transition', '/justhink_robot_hr/log_ask_guess', '/justhink_robot_hr/log_observe_activity', '/rosout', '/justhink_robot_hr/log_speak', '/justhink_robot_hr/log_act', '/justhink_robot_hr/log_set_robot_text', '/justhink_app/activity_transition', '/justhink_robot_hr/log_expression', '/qt_robot/gesture/play']"
1623241897.6751444,9934,1623241897,671386480,,2,/justhink_app,"Responding service /justhink_app/set_robot_text
 Data: 
 text: ''
 Response: 
 True",human_window.py,log_service_response,1135,"['/justhink_app/key_press', '/justhink_app/mouse_press', '/justhink_app/button_press', '/rosout', '/justhink_app/mouse_release', '/justhink_app/key_release', '/justhink_app/mouse_drag', '/justhink_app/activity_transition', '/justhink_app/mouse_motion', '/justhink_app/act', '/justhink_app/state_transition']"
