Time,data
1623048755.441726,QT/hi
1623048792.163293,QT/show_tablet
1623048825.2131088,QT/show_tablet
1623048864.6177258,QT/show_tablet
1623048901.4998357,QT/yes
1623048920.9771638,QT/thanks
1623048931.63107,QT/show_tablet
1623048945.8485322,epfl/justhink/point_front_head_forward
1623049026.767468,QT/curious
1623049041.4077518,QT/strong
1623049116.5345502,epfl/justhink/point_front_head_forward
1623049131.6705081,QT/challenge
1623049184.7109396,QT/yes
1623049199.515778,QT/curious
1623049251.7312496,QT/curious
1623049300.8578572,QT/show_tablet
1623049334.9159465,epfl/justhink/show_QT_head_down
1623049356.3897102,epfl/justhink/point_front_head_forward
1623049367.57297,QT/happy
1623049382.4036615,QT/yawn
1623049393.0324364,epfl/justhink/show_QT_head_down
1623049397.0207915,epfl/justhink/show_QT_head_down
1623049402.2676024,epfl/justhink/point_front_head_forward
1623049406.3089433,epfl/justhink/show_QT_head_down
1623049411.6846118,epfl/justhink/point_front_head_forward
1623049417.451638,QT/happy
1623049425.4072273,QT/yawn
1623049434.0050702,epfl/justhink/show_QT_head_down
1623049437.9930692,epfl/justhink/show_QT_head_down
1623049442.8156643,epfl/justhink/point_front_head_forward
1623049446.8634536,epfl/justhink/show_QT_head_down
1623049451.2146025,epfl/justhink/point_front_head_forward
1623049458.3916194,QT/happy
1623049466.368635,QT/yawn
1623049479.8335924,epfl/justhink/show_QT_head_down
1623049483.801139,epfl/justhink/show_QT_head_down
1623049485.1050448,epfl/justhink/point_front_head_forward
1623049489.1610923,epfl/justhink/show_QT_head_down
1623049494.0139585,epfl/justhink/point_front_head_forward
1623049503.48927,QT/happy
1623049513.4703424,QT/yawn
1623049524.945036,epfl/justhink/show_QT_head_down
1623049528.8986807,epfl/justhink/show_QT_head_down
1623049533.745948,epfl/justhink/point_front_head_forward
1623049537.8002238,epfl/justhink/show_QT_head_down
1623049542.5532832,epfl/justhink/point_front_head_forward
1623049546.2970588,QT/happy
1623049554.4485636,QT/yawn
1623049567.0410562,epfl/justhink/show_QT_head_down
1623049571.0328956,epfl/justhink/show_QT_head_down
1623049579.8282094,epfl/justhink/point_front_head_forward
1623049591.149375,QT/happy
1623049599.0796309,QT/yawn
1623049608.3122838,epfl/justhink/show_QT_head_down
1623049612.2668278,epfl/justhink/show_QT_head_down
1623049615.2579942,epfl/justhink/point_front_head_forward
1623049619.3204908,epfl/justhink/show_QT_head_down
1623049624.679664,epfl/justhink/point_front_head_forward
1623049634.1493886,QT/sad
1623049644.1409206,epfl/justhink/point_front_head_forward
1623049652.6941547,epfl/justhink/show_QT_head_down
1623049656.6649408,epfl/justhink/show_QT_head_down
1623049657.794059,epfl/justhink/point_front_head_forward
1623049666.2304206,QT/happy
1623049676.489326,QT/yawn
1623049689.7641432,epfl/justhink/show_QT_head_down
1623049693.7399333,epfl/justhink/show_QT_head_down
1623049698.4058714,epfl/justhink/point_front_head_forward
1623049702.4620934,epfl/justhink/show_QT_head_down
1623049707.8242905,epfl/justhink/point_front_head_forward
1623049714.3497205,QT/sad
1623049724.289725,epfl/justhink/point_front_head_forward
1623049729.5276718,epfl/justhink/show_QT_head_down
1623049733.4887486,epfl/justhink/show_QT_head_down
1623049736.5005026,epfl/justhink/point_front_head_forward
1623049740.6066422,epfl/justhink/show_QT_head_down
1623049749.4000978,epfl/justhink/point_front_head_forward
1623049749.4638705,epfl/justhink/show_QT_head_down
1623049754.11976,epfl/justhink/point_front_head_forward
1623049759.4595757,QT/happy
1623049769.7036188,QT/yawn
1623049775.7170925,epfl/justhink/show_QT_head_down
1623049779.679294,epfl/justhink/show_QT_head_down
1623049780.8326917,epfl/justhink/point_front_head_forward
1623049784.8876927,epfl/justhink/show_QT_head_down
1623049789.2542553,epfl/justhink/point_front_head_forward
1623049794.6830173,QT/happy
1623049802.6510708,QT/yawn
1623049805.6989684,epfl/justhink/show_QT_head_down
1623049809.6564164,epfl/justhink/show_QT_head_down
1623049813.9099276,epfl/justhink/point_front_head_forward
1623049817.9723964,epfl/justhink/show_QT_head_down
1623049822.51291,epfl/justhink/point_front_head_forward
1623049830.0893512,QT/happy
1623049838.0760114,QT/yawn
1623049838.7252464,epfl/justhink/show_QT_head_down
1623049842.716822,epfl/justhink/show_QT_head_down
1623049845.7175174,epfl/justhink/point_front_head_forward
1623049849.786436,epfl/justhink/show_QT_head_down
1623049854.260917,epfl/justhink/point_front_head_forward
1623049860.947868,QT/happy
1623049868.6174839,QT/yawn
1623049870.5590646,epfl/justhink/show_QT_head_down
1623049874.520377,epfl/justhink/show_QT_head_down
1623049879.4463463,epfl/justhink/point_front_head_forward
1623049883.5551107,epfl/justhink/show_QT_head_down
1623049887.8434143,epfl/justhink/point_front_head_forward
1623049897.9524295,QT/happy
1623049905.6598146,QT/yawn
1623049914.2885776,epfl/justhink/show_QT_head_down
1623049918.272414,epfl/justhink/show_QT_head_down
1623049921.224637,epfl/justhink/point_front_head_forward
1623049925.2709994,epfl/justhink/show_QT_head_down
1623049929.826706,epfl/justhink/point_front_head_forward
1623049940.0793796,QT/happy
1623049948.2611334,QT/yawn
1623049965.2554805,QT/sad
1623049969.124211,QT/happy
1623049978.7008495,epfl/justhink/show_QT_head_down
1623049982.6542485,epfl/justhink/show_QT_head_down
1623049987.271829,epfl/justhink/point_front_head_forward
1623049991.3224194,epfl/justhink/show_QT_head_down
1623049997.0045967,epfl/justhink/point_front_head_forward
1623050001.2667828,QT/happy
1623050011.33705,QT/yawn
1623050011.5033112,epfl/justhink/show_QT_head_down
1623050015.4544592,epfl/justhink/show_QT_head_down
1623050020.552552,epfl/justhink/point_front_head_forward
1623050024.6037967,epfl/justhink/show_QT_head_down
1623050029.153967,epfl/justhink/point_front_head_forward
1623050033.1212823,QT/happy
1623050041.033225,QT/yawn
1623050043.164226,epfl/justhink/show_QT_head_down
1623050047.120934,epfl/justhink/show_QT_head_down
1623050052.3170273,epfl/justhink/point_front_head_forward
1623050056.466111,epfl/justhink/show_QT_head_down
1623050061.9320087,epfl/justhink/point_front_head_forward
1623050073.1027522,QT/happy
1623050080.966638,QT/yawn
1623050082.7966332,epfl/justhink/show_QT_head_down
1623050086.7915747,epfl/justhink/show_QT_head_down
1623050091.827445,epfl/justhink/point_front_head_forward
1623050095.879079,epfl/justhink/show_QT_head_down
1623050101.2444255,epfl/justhink/point_front_head_forward
1623050104.4213052,QT/happy
1623050112.7166798,QT/yawn
1623050113.151412,epfl/justhink/show_QT_head_down
1623050117.136038,epfl/justhink/show_QT_head_down
