Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,x,y,dx,dy,left,right
1623220971.2650216,1,1623220971,264821767,init,1249,910,0,0,True,False
1623220977.1843026,2,1623220977,183949708,init,890,625,0,0,True,False
1623220979.0767274,3,1623220979,76491594,init,1265,877,0,0,True,False
1623221038.069367,4,1623221038,69174289,init,883,744,0,0,True,False
1623221092.6382067,5,1623221092,638034582,start,1056,512,0,0,True,False
1623221158.1720235,6,1623221158,171697616,indiv-illustrate,1418,450,0,0,True,False
1623221194.5097966,7,1623221194,508480072,indiv-illustrate,1714,524,0,0,True,False
1623221217.7127278,8,1623221217,712411165,indiv-illustrate,1445,420,0,0,True,False
1623221221.0031679,9,1623221221,2784013,indiv-illustrate,1745,874,0,0,True,False
1623221259.6745849,10,1623221259,674176931,pretest-1,561,367,0,0,True,False
1623221264.1862435,11,1623221264,186007738,pretest-1,991,474,0,0,True,False
1623221267.6866279,12,1623221267,686246395,pretest-1,1066,488,0,0,True,False
1623221271.5090966,13,1623221271,508714914,pretest-1,695,562,0,0,True,False
1623221282.2726452,14,1623221282,272362947,pretest-1,844,729,0,0,True,False
1623221288.1720455,15,1623221288,171802520,pretest-1,1067,631,0,0,True,False
1623221296.097419,16,1623221296,97133398,pretest-1,1015,131,0,0,True,False
1623221299.6298935,17,1623221299,628289699,pretest-1,1068,586,0,0,True,False
1623221310.4022303,18,1623221310,401997566,pretest-1,860,703,0,0,True,False
1623221316.2519743,19,1623221316,250437259,pretest-1,1662,529,0,0,True,False
1623221322.0647476,20,1623221322,64555883,pretest-1,1063,463,0,0,True,False
1623221328.8583689,21,1623221328,857827901,pretest-1,922,463,0,0,True,False
1623221328.877392,22,1623221328,877221822,pretest-1,573,423,0,0,True,False
1623221328.8994727,23,1623221328,899123191,pretest-1,879,479,0,0,True,False
1623221330.485562,24,1623221330,485215902,pretest-1,807,457,0,0,True,False
1623221332.0269039,25,1623221332,26672124,pretest-1,478,450,0,0,True,False
1623221337.0240126,26,1623221337,23579835,pretest-1,543,172,0,0,True,False
1623221340.411548,27,1623221340,411288261,pretest-1,544,404,0,0,True,False
1623221344.9657886,28,1623221344,965595722,pretest-1,1028,471,0,0,True,False
1623221351.7665808,29,1623221351,766151189,pretest-1,1046,481,0,0,True,False
1623221356.3852613,30,1623221356,383840560,pretest-1,1084,618,0,0,True,False
1623221358.6190028,31,1623221358,618766546,pretest-1,786,698,0,0,True,False
1623221360.9326518,32,1623221360,932324171,pretest-1,688,596,0,0,True,False
1623221365.4254656,33,1623221365,423306465,pretest-1,731,575,0,0,True,False
1623221370.5763566,34,1623221370,576110601,pretest-1,879,714,0,0,True,False
1623221373.8946784,35,1623221373,894523859,pretest-1,1813,922,0,0,True,False
1623221374.5877922,36,1623221374,587275266,pretest-1,1744,873,0,0,True,False
1623221376.510858,37,1623221376,510574340,pretest-1,785,533,0,0,True,False
1623221393.0192964,38,1623221393,18864631,pretest-2,1126,743,0,0,True,False
1623221399.758467,39,1623221399,758323907,pretest-2,1022,822,0,0,True,False
1623221399.777592,40,1623221399,777453660,pretest-2,1099,759,0,0,True,False
1623221400.9557304,41,1623221400,955339670,pretest-2,1047,769,0,0,True,False
1623221404.1126668,42,1623221404,112388849,pretest-2,903,832,0,0,True,False
1623221407.7783256,43,1623221407,777953624,pretest-2,1373,860,0,0,True,False
1623221410.7252104,44,1623221410,724926710,pretest-2,1443,638,0,0,True,False
1623221420.861939,45,1623221420,861740827,pretest-2,1044,507,0,0,True,False
1623221425.2017913,46,1623221425,199607610,pretest-2,824,578,0,0,True,False
1623221428.643665,47,1623221428,643422365,pretest-2,1282,363,0,0,True,False
1623221433.646826,48,1623221433,645575761,pretest-2,1275,397,0,0,True,False
1623221435.8128839,49,1623221435,812738895,pretest-2,1075,368,0,0,True,False
1623221441.0543125,50,1623221441,54066658,pretest-2,1681,922,0,0,True,False
1623221441.359601,51,1623221441,359367370,pretest-2,1682,922,0,0,True,False
1623221443.1040144,52,1623221443,103637456,pretest-2,818,526,0,0,True,False
1623221443.4261312,53,1623221443,425797700,pretest-2,818,523,0,0,True,False
1623221465.4175744,54,1623221465,417333364,pretest-3,886,544,0,0,True,False
1623221469.9991581,55,1623221469,998857259,pretest-3,931,405,0,0,True,False
1623221477.706879,56,1623221477,706578493,pretest-3,911,443,0,0,True,False
1623221485.0231571,57,1623221485,21719455,pretest-3,1036,697,0,0,True,False
1623221491.0367389,58,1623221491,35379886,pretest-3,515,457,0,0,True,False
1623221494.5083044,59,1623221494,508025407,pretest-3,627,715,0,0,True,False
1623221498.4584916,60,1623221498,458189725,pretest-3,643,717,0,0,True,False
1623221504.1585186,61,1623221504,158341646,pretest-3,1765,951,0,0,True,False
1623221504.827386,62,1623221504,827132463,pretest-3,1665,852,0,0,True,False
1623221506.1214337,63,1623221506,121101617,pretest-3,778,477,0,0,True,False
1623221506.8115113,64,1623221506,811180114,pretest-3,768,502,0,0,True,False
1623221528.995202,65,1623221528,994804382,pretest-4,1412,816,0,0,True,False
1623221533.8282387,66,1623221533,827934026,pretest-4,1375,867,0,0,True,False
1623221539.2744172,67,1623221539,272819757,pretest-4,1002,714,0,0,True,False
1623221543.6100645,68,1623221543,609575510,pretest-4,818,611,0,0,True,False
1623221549.4342995,69,1623221549,434045553,pretest-4,1566,496,0,0,True,False
1623221550.9091241,70,1623221550,908923387,pretest-4,1632,488,0,0,True,False
1623221551.9731917,71,1623221551,972932815,pretest-4,1674,575,0,0,True,False
1623221556.2284951,72,1623221556,228226184,pretest-4,1370,821,0,0,True,False
1623221559.3792872,73,1623221559,379100561,pretest-4,1393,850,0,0,True,False
1623221565.3526986,74,1623221565,352380275,pretest-4,809,590,0,0,True,False
1623221569.7807271,75,1623221569,780054807,pretest-4,1098,604,0,0,True,False
1623221580.8108642,76,1623221580,810674905,pretest-4,1033,694,0,0,True,False
1623221584.35471,77,1623221584,352713584,pretest-4,1485,620,0,0,True,False
1623221589.5450697,78,1623221589,544869899,pretest-4,1429,668,0,0,True,False
1623221589.5788672,79,1623221589,578717708,pretest-4,1404,631,0,0,True,False
1623221590.6429412,80,1623221590,642600297,pretest-4,1304,550,0,0,True,False
1623221593.0637562,81,1623221593,63463449,pretest-4,1287,520,0,0,True,False
1623221597.3510697,82,1623221597,350747346,pretest-4,1085,350,0,0,True,False
1623221599.627574,83,1623221599,627181291,pretest-4,1734,875,0,0,True,False
1623221600.9072156,84,1623221600,906964540,pretest-4,759,470,0,0,True,False
1623221618.7384322,85,1623221618,738216161,pretest-5,1118,241,0,0,True,False
1623221623.344854,86,1623221623,344504356,pretest-5,1092,300,0,0,True,False
1623221628.6116216,87,1623221628,610819816,pretest-5,1491,425,0,0,True,False
1623221632.9486737,88,1623221632,947299242,pretest-5,1105,599,0,0,True,False
1623221636.8395593,89,1623221636,839319229,pretest-5,1323,715,0,0,True,False
1623221641.789834,90,1623221641,788406133,pretest-5,1474,488,0,0,True,False
1623221647.5299315,91,1623221647,529559850,pretest-5,879,809,0,0,True,False
1623221649.729474,92,1623221649,729265451,pretest-5,1769,897,0,0,True,False
1623221651.521751,93,1623221651,521407604,pretest-5,734,464,0,0,True,False
1623221733.5329554,94,1623221733,532654762,collab-activity,955,661,0,0,True,False
1623221737.203866,95,1623221737,203563928,collab-activity,1053,652,0,0,True,False
1623221787.511602,96,1623221787,511255264,collab-activity,528,388,0,0,True,False
1623221833.1689887,97,1623221833,168603658,collab-activity,994,464,0,0,True,False
1623221841.0744345,98,1623221841,74139118,collab-activity,953,427,0,0,True,False
1623221889.1823747,99,1623221889,182095289,collab-activity,1026,474,0,0,True,False
1623221935.2885492,100,1623221935,288238286,collab-activity,1439,489,0,0,True,False
1623221973.9520533,101,1623221973,951827287,collab-activity,1466,495,0,0,True,False
1623221977.5700603,102,1623221977,569453001,collab-activity,1442,491,0,0,True,False
1623222021.9202216,103,1623222021,919946670,collab-activity,1407,502,0,0,True,False
1623222056.9542499,104,1623222056,954086303,collab-activity,1360,845,0,0,True,False
1623222093.2414868,105,1623222093,235119342,collab-activity,301,194,0,0,True,False
1623222109.825179,106,1623222109,824679374,collab-activity,1481,488,0,0,True,False
1623222141.0917125,107,1623222141,91458797,collab-activity,799,581,0,0,True,False
1623222141.111268,108,1623222141,111042976,collab-activity,799,581,0,0,True,False
1623222158.1249266,109,1623222158,124717235,collab-activity,1353,484,0,0,True,False
1623222160.998233,110,1623222160,997914314,collab-activity,1501,468,0,0,True,False
1623222221.7135468,111,1623222221,713240385,collab-activity,1080,447,0,0,True,False
1623222270.3043973,112,1623222270,304101228,collab-activity,706,548,0,0,True,False
1623222276.9812176,113,1623222276,980813264,collab-activity,625,566,0,0,True,False
1623222277.0068123,114,1623222277,5310535,collab-activity,623,558,0,0,True,False
1623222307.8396895,115,1623222307,839348793,collab-activity,960,441,0,0,True,False
1623222321.7154248,116,1623222321,715109348,collab-activity,1061,614,0,0,True,False
1623222364.9030066,117,1623222364,902653694,collab-activity,1081,597,0,0,True,False
1623222415.8945796,118,1623222415,894350290,collab-activity,1077,616,0,0,True,False
1623222464.7424448,119,1623222464,742126703,collab-activity,1376,839,0,0,True,False
1623222486.8017473,120,1623222486,801492452,collab-activity,1646,142,0,0,True,False
1623222502.147931,121,1623222502,147619009,collab-activity,859,738,0,0,True,False
1623222547.3554718,122,1623222547,355028629,collab-activity,1480,190,0,0,True,False
1623222551.4045148,123,1623222551,404099702,collab-activity,1439,541,0,0,True,False
1623222553.0277636,124,1623222553,27174472,collab-activity,1366,807,0,0,True,False
1623222554.2690108,125,1623222554,268579721,collab-activity,1377,773,0,0,True,False
1623222555.3929257,126,1623222555,392588615,collab-activity,1356,804,0,0,True,False
1623222558.4102736,127,1623222558,409721136,collab-activity,1516,461,0,0,True,False
1623222602.5179405,128,1623222602,517624378,collab-activity,429,684,0,0,True,False
1623222607.7363825,129,1623222607,736024141,collab-activity,1414,529,0,0,True,False
1623222626.404338,130,1623222626,403990983,collab-activity,1622,811,0,0,True,False
1623222627.57697,131,1623222627,576780319,collab-activity,1668,871,0,0,True,False
1623222668.3157446,132,1623222668,315533638,collab-activity,1032,451,0,0,True,False
1623222670.7234175,133,1623222670,722965717,collab-activity,1035,454,0,0,True,False
1623222717.0758545,134,1623222717,75540542,collab-activity,625,569,0,0,True,False
1623222735.2217987,135,1623222735,221465110,collab-activity,466,293,0,0,True,False
1623222762.711884,136,1623222762,711530923,collab-activity,848,749,0,0,True,False
1623222804.3630564,137,1623222804,362713336,collab-activity,1068,625,0,0,True,False
1623222847.0144804,138,1623222847,14169454,collab-activity,1073,614,0,0,True,False
1623222876.816135,139,1623222876,815862417,collab-activity,1123,534,0,0,True,False
1623222876.8348203,140,1623222876,834620714,collab-activity,1123,530,0,0,True,False
1623222889.0651429,141,1623222889,64821481,collab-activity,1442,339,0,0,True,False
1623222891.95427,142,1623222891,954099178,collab-activity,1434,500,0,0,True,False
1623222895.5273838,143,1623222895,527202844,collab-activity,1102,623,0,0,True,False
1623222930.5258284,144,1623222930,525628566,collab-activity,1075,485,0,0,True,False
1623222932.6644697,145,1623222932,664229631,collab-activity,1050,388,0,0,True,False
