Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,x,y,dx,dy,left,right
1623235683.395822,1,1623235683,395456314,init,778,799,0,0,True,False
1623235692.1497705,2,1623235692,149382591,start,1212,729,0,0,True,False
1623235708.2124949,3,1623235708,211954593,start,997,1080,0,0,True,False
1623235748.8654394,4,1623235748,864960670,start,1116,525,0,0,True,False
1623235812.3022003,5,1623235812,301892042,indiv-illustrate,1007,590,0,0,True,False
1623235852.6719818,6,1623235852,671502828,indiv-illustrate,1723,556,0,0,True,False
1623235870.6943543,7,1623235870,694099664,indiv-illustrate,1123,616,0,0,True,False
1623235876.4610395,8,1623235876,459246635,indiv-illustrate,1704,879,0,0,True,False
1623235886.0397482,9,1623235886,39240121,indiv-illustrate,1407,593,0,0,True,False
1623235912.9325986,10,1623235912,932110786,pretest-1,574,401,0,0,True,False
1623235916.472036,11,1623235916,471497774,pretest-1,693,578,0,0,True,False
1623235919.8821323,12,1623235919,881593704,pretest-1,666,564,0,0,True,False
1623235922.3376637,13,1623235922,337513446,pretest-1,421,653,0,0,True,False
1623235925.2485325,14,1623235925,248180389,pretest-1,434,655,0,0,True,False
1623235927.9377704,15,1623235927,937595844,pretest-1,451,652,0,0,True,False
1623235931.761987,16,1623235931,761552095,pretest-1,662,880,0,0,True,False
1623235938.8194046,17,1623235938,818892002,pretest-1,411,651,0,0,True,False
1623235942.4235973,18,1623235942,423412322,pretest-1,829,703,0,0,True,False
1623235945.1232557,19,1623235945,122937202,pretest-1,647,564,0,0,True,False
1623235955.1809793,20,1623235955,180507183,pretest-1,641,629,0,0,True,False
1623235958.0443563,21,1623235958,43891429,pretest-1,756,706,0,0,True,False
1623235959.875581,22,1623235959,875368595,pretest-1,1673,562,0,0,True,False
1623235964.8303852,23,1623235964,830092191,pretest-1,560,383,0,0,True,False
1623235967.71491,24,1623235967,714468002,pretest-1,455,648,0,0,True,False
1623235971.1096148,25,1623235971,109274864,pretest-1,710,562,0,0,True,False
1623235973.7666152,26,1623235973,766282320,pretest-1,1010,486,0,0,True,False
1623235991.159814,27,1623235991,159518718,pretest-1,863,711,0,0,True,False
1623235991.194876,28,1623235991,194694995,pretest-1,869,701,0,0,True,False
1623235996.3787115,29,1623235996,378314495,pretest-1,1086,605,0,0,True,False
1623235996.4387832,30,1623235996,438611984,pretest-1,845,727,0,0,True,False
1623235996.4596899,31,1623235996,459507226,pretest-1,1074,595,0,0,True,False
1623235996.4957013,32,1623235996,495464086,pretest-1,1070,605,0,0,True,False
1623235996.604803,33,1623235996,604456663,pretest-1,1019,474,0,0,True,False
1623236005.9554777,34,1623236005,955160856,pretest-1,851,720,0,0,True,False
1623236012.7091296,35,1623236012,707547664,pretest-1,1764,852,0,0,True,False
1623236019.684902,36,1623236019,683117866,pretest-1,804,512,0,0,True,False
1623236039.1257122,37,1623236039,125166416,pretest-2,856,833,0,0,True,False
1623236044.1562076,38,1623236044,155921936,pretest-2,860,856,0,0,True,False
1623236049.258895,39,1623236049,258474588,pretest-2,1342,879,0,0,True,False
1623236055.2638206,40,1623236055,263292312,pretest-2,838,834,0,0,True,False
1623236059.2433321,41,1623236059,243044376,pretest-2,832,605,0,0,True,False
1623236063.8703122,42,1623236063,870092391,pretest-2,1039,545,0,0,True,False
1623236072.4694064,43,1623236072,466941833,pretest-2,1640,862,0,0,True,False
1623236074.6255176,44,1623236074,623488664,pretest-2,762,521,0,0,True,False
1623236096.5106444,45,1623236096,510344266,pretest-3,776,535,0,0,True,False
1623236116.5039513,46,1623236116,503882169,pretest-3,851,554,0,0,True,False
1623236116.5490222,47,1623236116,548753976,pretest-3,1069,679,0,0,True,False
1623236116.5841374,48,1623236116,583936929,pretest-3,801,567,0,0,True,False
1623236116.6441693,49,1623236116,644044876,pretest-3,855,526,0,0,True,False
1623236145.8057082,50,1623236145,804028272,pretest-3,1735,848,0,0,True,False
1623236147.8998663,51,1623236147,898177385,pretest-3,772,512,0,0,True,False
1623236169.429806,52,1623236169,429493665,pretest-4,1040,689,0,0,True,False
1623236175.6088986,53,1623236175,608587503,pretest-4,1379,838,0,0,True,False
1623236181.624302,54,1623236181,623839855,pretest-4,948,883,0,0,True,False
1623236186.0140612,55,1623236186,12486696,pretest-4,1665,868,0,0,True,False
1623236187.6085,56,1623236187,607394218,pretest-4,801,519,0,0,True,False
1623236206.0440536,57,1623236206,43680191,pretest-5,1143,614,0,0,True,False
1623236209.405385,58,1623236209,405075550,pretest-5,1463,448,0,0,True,False
1623236213.419584,59,1623236213,419345140,pretest-5,777,611,0,0,True,False
1623236220.2262068,60,1623236220,226087570,pretest-5,1717,865,0,0,True,False
1623236220.2600965,61,1623236220,259785413,pretest-5,1684,887,0,0,True,False
1623236220.9788444,62,1623236220,978341579,pretest-5,1718,887,0,0,False,True
1623236220.9978533,63,1623236220,997433185,pretest-5,1718,887,0,0,True,False
1623236223.410081,64,1623236223,407748460,pretest-5,773,539,0,0,True,False
1623236223.490935,65,1623236223,490033388,pretest-5,773,539,0,0,False,True
1623236284.2506146,66,1623236284,248256444,collab-activity,298,179,0,0,True,False
1623236304.198828,67,1623236304,198292255,collab-activity,673,545,0,0,True,False
1623236335.912053,68,1623236335,910464048,collab-activity,339,188,0,0,True,False
1623236350.6839607,69,1623236350,683674812,collab-activity,535,368,0,0,True,False
1623236388.7327209,70,1623236388,731015682,collab-activity,1626,132,0,0,True,False
1623236404.632419,71,1623236404,631822109,collab-activity,1019,905,0,0,True,False
1623236433.6979547,72,1623236433,696071147,collab-activity,317,120,0,0,True,False
1623236449.8052957,73,1623236449,804837465,collab-activity,1397,818,0,0,True,False
1623236453.9583933,74,1623236453,958092451,collab-activity,1394,813,0,0,True,False
1623236500.2760172,75,1623236500,273311853,collab-activity,1666,173,0,0,True,False
