Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.edges,state.suggested.u,state.suggested.v,state.terminal,state.submit_suggested,action.agent_name,action.type,action.edge.u,action.edge.v,next_state.edges,next_state.suggested.u,next_state.suggested.v,next_state.terminal,next_state.submit_suggested,action_no,step_no,turn_agent
1623235816.7813785,1,1623235816,780530691,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,0,1,human
1623235852.8577187,2,1623235852,857585191,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,8,-1,-1,[],-1,-1,False,False,1,2,human
1623235874.9114933,3,1623235874,910818099,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,2,3,human
1623235876.4606771,4,1623235876,459989547,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,3,-1,-1,"[u: 1
v: 9]",-1,-1,True,False,3,4,human
1623235914.7071888,5,1623235914,706212759,pretest-1,[],-1,-1,False,False,human,1,6,4,"[u: 6
v: 4]",-1,-1,False,False,0,0,human
1623235918.4008307,6,1623235918,400007486,pretest-1,"[u: 6
v: 4]",-1,-1,False,False,human,1,5,4,"[u: 5
v: 4, u: 6
v: 4]",-1,-1,False,False,1,0,human
1623235921.1933963,7,1623235921,192320108,pretest-1,"[u: 5
v: 4, u: 6
v: 4]",-1,-1,False,False,human,1,5,6,"[u: 5
v: 4, u: 5
v: 6, u: 6
v: 4]",-1,-1,False,False,2,0,human
1623235923.972156,8,1623235923,971454858,pretest-1,"[u: 5
v: 4, u: 5
v: 6, u: 6
v: 4]",-1,-1,False,False,human,1,7,6,"[u: 5
v: 4, u: 7
v: 6, u: 6
v: 4, u: 5
v: 6]",-1,-1,False,False,3,0,human
1623235929.8656604,9,1623235929,864659786,pretest-1,"[u: 5
v: 4, u: 7
v: 6, u: 6
v: 4, u: 5
v: 6]",-1,-1,False,False,human,1,7,5,"[u: 7
v: 6, u: 5
v: 6, u: 7
v: 5, u: 5
v: 4, u: 6
v: 4]",-1,-1,False,False,4,0,human
1623235936.6677399,10,1623235936,667554378,pretest-1,"[u: 7
v: 6, u: 5
v: 6, u: 7
v: 5, u: 5
v: 4, u: 6
v: 4]",-1,-1,False,False,human,1,0,7,"[u: 0
v: 7, u: 7
v: 6, u: 5
v: 6, u: 7
v: 5, u: 5
v: 4, u: 6
v: 4]",-1,-1,False,False,5,0,human
