Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,current,next
1623048653.6292431,1,1623048653,628568172,init,init,init
1623048685.9344437,2,1623048685,933597326,init,init,init
1623048707.7634983,2,1623048707,762731790,init,init,init
1623048752.0411904,2,1623048752,40603399,init,init,init
1623048755.4412844,3,1623048755,440480470,init,init,start
1623048792.1627584,4,1623048792,162175416,start,start,intro
1623048825.1927009,5,1623048825,192504882,intro,intro,indiv-illustrate
1623048931.6002882,6,1623048931,599678277,indiv-illustrate,indiv-illustrate,pretest-1
1623049026.7383392,7,1623049026,737743854,pretest-1,pretest-1,pretest-2
1623049116.5125043,8,1623049116,511537075,pretest-2,pretest-2,pretest-3
1623049184.6893458,9,1623049184,688640594,pretest-3,pretest-3,pretest-4
1623049251.7306063,10,1623049251,729965925,pretest-4,pretest-4,pretest-5
1623049300.83268,11,1623049300,831829309,pretest-5,pretest-5,collab-activity
1623050402.6990805,12,1623050402,698400974,collab-activity,collab-activity,collab-activity-2
1623050720.3250096,13,1623050720,324363470,collab-activity-2,collab-activity-2,collab-activity-2
1623050728.7877996,14,1623050728,787550926,collab-activity-2,collab-activity-2,collab-activity-2
1623051346.7220538,15,1623051346,721437215,collab-activity-2,collab-activity-2,posttest-1
1623051394.3667254,16,1623051394,365880489,posttest-1,posttest-1,posttest-2
1623051429.0844092,17,1623051429,83544254,posttest-2,posttest-2,posttest-3
1623051467.2659514,18,1623051467,264745235,posttest-3,posttest-3,posttest-4
1623051519.4828503,19,1623051519,482207775,posttest-4,posttest-4,posttest-5
1623051559.110787,20,1623051559,109992504,posttest-5,posttest-5,debriefing
