Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,x,y,dx,dy,left,right
1623048653.830229,1,1623048653,829820156,init,1915,799,0,0,True,False
1623048653.8314977,2,1623048653,831227064,init,1857,795,-58,-4,True,False
1623048653.8763092,3,1623048653,875710010,init,1809,793,-48,-2,True,False
1623048653.8763359,4,1623048653,875923395,init,1763,789,-46,-4,True,False
1623048653.8764887,5,1623048653,875993490,init,1752,789,-11,0,True,False
1623048653.8767872,6,1623048653,876040220,init,1712,785,-40,-4,True,False
1623048653.8768158,7,1623048653,876112461,init,1686,783,-26,-2,True,False
1623048653.876834,8,1623048653,876148939,init,1662,781,-24,-2,True,False
1623048653.8838122,9,1623048653,883626461,init,1642,779,-20,-2,True,False
1623048653.8912385,10,1623048653,890938997,init,1624,775,-18,-4,True,False
1623048653.8996031,11,1623048653,899388313,init,1612,775,-12,0,True,False
1623048653.9413323,12,1623048653,940938949,init,1603,773,-9,-2,True,False
1623048653.9414384,13,1623048653,941076278,init,1592,772,-11,-1,True,False
1623048653.9415169,14,1623048653,941143989,init,1571,768,-21,-4,True,False
1623048653.9415376,15,1623048653,941222906,init,1554,764,-17,-4,True,False
1623048653.941617,16,1623048653,941260337,init,1532,762,-22,-2,True,False
1623048653.980805,17,1623048653,980588912,init,1500,758,-32,-4,True,False
1623048653.9810426,18,1623048653,980743408,init,1474,758,-26,0,True,False
1623048653.9810617,19,1623048653,980804204,init,1442,756,-32,-2,True,False
1623048653.9810705,20,1623048653,980869531,init,1428,756,-14,0,True,False
1623048653.9812126,21,1623048653,980911254,init,1397,756,-31,0,True,False
1623048653.9812207,22,1623048653,980950593,init,1347,756,-50,0,True,False
1623048653.9886189,23,1623048653,988418102,init,1309,758,-38,2,True,False
1623048654.0298312,24,1623048654,29549598,init,1291,758,-18,0,True,False
1623048654.0310283,25,1623048654,29651880,init,1256,758,-35,0,True,False
1623048654.0310512,26,1623048654,29727458,init,1224,760,-32,2,True,False
1623048654.0310664,27,1623048654,29777050,init,1208,760,-16,0,True,False
1623048654.0310774,28,1623048654,29811382,init,1177,760,-31,0,True,False
1623048654.0361423,29,1623048654,35891294,init,1149,760,-28,0,True,False
1623048654.075486,30,1623048654,75232505,init,1123,760,-26,0,True,False
1623048654.0758069,31,1623048654,75326681,init,1103,760,-20,0,True,False
1623048654.075819,32,1623048654,75391054,init,1088,762,-15,2,True,False
1623048654.075838,33,1623048654,75431108,init,1076,762,-12,0,True,False
1623048654.075881,34,1623048654,75466632,init,1072,763,-4,1,True,False
1623048654.0811393,35,1623048654,80891847,init,1063,765,-9,2,True,False
1623048654.1198037,36,1623048654,119520425,init,1054,766,-9,1,True,False
1623048654.1198199,37,1623048654,119608640,init,1045,769,-9,3,True,False
1623048654.119845,38,1623048654,119656801,init,1036,772,-9,3,True,False
1623048654.1199489,39,1623048654,119779586,init,1027,774,-9,2,True,False
1623048654.120047,40,1623048654,119859695,init,1019,776,-8,2,True,False
1623048654.160422,41,1623048654,159783363,init,1013,776,-6,0,True,False
1623048654.1604483,42,1623048654,159893035,init,1004,779,-9,3,True,False
1623048654.1604815,43,1623048654,159943103,init,992,781,-12,2,True,False
1623048654.160495,44,1623048654,159983158,init,987,782,-5,1,True,False
1623048654.1605017,45,1623048654,160020589,init,979,785,-8,3,True,False
1623048654.1620479,46,1623048654,161648988,init,972,789,-7,4,True,False
1623048654.1684148,47,1623048654,168170690,init,968,792,-4,3,True,False
1623048654.1760457,48,1623048654,175640583,init,967,793,-1,1,True,False
1623048654.2196496,49,1623048654,218967437,init,966,794,-1,1,True,False
1623048654.2197745,50,1623048654,219084501,init,964,795,-2,1,True,False
1623048654.2198703,51,1623048654,219254732,init,963,796,-1,1,True,False
1623048654.2198842,52,1623048654,219330549,init,962,797,-1,1,True,False
1623048654.2198899,53,1623048654,219399452,init,961,798,-1,1,True,False
1623048654.3002152,54,1623048654,299772500,init,961,799,0,1,True,False
1623048654.3002255,55,1623048654,299870729,init,960,799,-1,0,True,False
1623048654.300235,56,1623048654,299926280,init,960,800,0,1,True,False
1623048654.3429067,57,1623048654,342453479,init,960,801,0,1,True,False
1623048654.3429258,58,1623048654,342555284,init,960,802,0,1,True,False
1623048654.3429325,59,1623048654,342612504,init,960,804,0,2,True,False
1623048654.3485565,60,1623048654,348182201,init,960,805,0,1,True,False
1623048654.385359,61,1623048654,385018110,init,961,805,1,0,True,False
1623048654.3854263,62,1623048654,385127782,init,961,806,0,1,True,False
1623048654.3854373,63,1623048654,385176420,init,963,807,2,1,True,False
1623048654.3854449,64,1623048654,385237455,init,963,808,0,1,True,False
1623048654.4256814,65,1623048654,425340890,init,964,809,1,1,True,False
1623048654.425831,66,1623048654,425542354,init,966,810,2,1,True,False
1623048654.4260917,67,1623048654,425646543,init,967,811,1,1,True,False
1623048654.4261653,68,1623048654,425756216,init,968,812,1,1,True,False
1623048654.42617,69,1623048654,425835847,init,969,812,1,0,True,False
1623048654.4310727,70,1623048654,430715799,init,970,813,1,1,True,False
1623048654.4383647,71,1623048654,438169240,init,971,813,1,0,True,False
1623048654.4815807,72,1623048654,481326580,init,974,815,3,2,True,False
1623048654.4817054,73,1623048654,481509208,init,975,815,1,0,True,False
1623048654.4817116,74,1623048654,481584310,init,976,816,1,1,True,False
1623048654.4819138,75,1623048654,481700897,init,977,816,1,0,True,False
1623048654.4819198,76,1623048654,481771945,init,978,816,1,0,True,False
1623048654.4833446,77,1623048654,483137369,init,978,817,0,1,True,False
1623048654.5200272,78,1623048654,519726276,init,979,817,1,0,True,False
1623048654.520036,79,1623048654,519821882,init,980,818,1,1,True,False
1623048654.5200381,80,1623048654,519870758,init,981,818,1,0,True,False
1623048654.5207589,81,1623048654,520632743,init,983,819,2,1,True,False
1623048654.528509,82,1623048654,528164625,init,985,819,2,0,True,False
1623048654.5652225,83,1623048654,564903259,init,991,820,6,1,True,False
1623048654.5652807,84,1623048654,565025568,init,999,820,8,0,True,False
1623048654.5654304,85,1623048654,565136909,init,1009,821,10,1,True,False
1623048654.5654376,86,1623048654,565231800,init,1017,821,8,0,True,False
1623048654.5698776,87,1623048654,569658041,init,1023,821,6,0,True,False
1623048654.6083977,88,1623048654,608062744,init,1035,821,12,0,True,False
1623048654.6085339,89,1623048654,608178615,init,1041,821,6,0,True,False
1623048654.6085472,90,1623048654,608234167,init,1049,821,8,0,True,False
1623048654.6086125,91,1623048654,608300685,init,1054,821,5,0,True,False
1623048654.6086233,92,1623048654,608351230,init,1063,823,9,2,True,False
1623048654.6159317,93,1623048654,615691661,init,1066,823,3,0,True,False
1623048654.6554403,94,1623048654,654954671,init,1073,823,7,0,True,False
1623048654.6554532,95,1623048654,655048370,init,1082,824,9,1,True,False
1623048654.6554675,96,1623048654,655092954,init,1092,824,10,0,True,False
1623048654.6554723,97,1623048654,655126810,init,1103,824,11,0,True,False
1623048654.6554878,98,1623048654,655165672,init,1115,826,12,2,True,False
1623048654.6956983,99,1623048654,695155382,init,1128,826,13,0,True,False
1623048654.6957185,100,1623048654,695268392,init,1144,826,16,0,True,False
1623048654.69574,101,1623048654,695319890,init,1150,826,6,0,True,False
1623048654.6957574,102,1623048654,695358276,init,1164,826,14,0,True,False
1623048654.6957994,103,1623048654,695394754,init,1168,826,4,0,True,False
1623048654.7930174,104,1623048654,792738199,init,1168,827,0,1,True,False
1623048654.8372066,105,1623048654,836978197,init,1168,827,0,0,True,False
1623048654.8801908,106,1623048654,879935026,init,1168,827,0,0,True,False
1623048654.9783964,107,1623048654,978118658,init,1168,828,0,1,True,False
1623048655.021697,108,1623048655,21381855,init,1167,828,-1,0,True,False
1623048655.02171,109,1623048655,21488189,init,1167,829,0,1,True,False
1623048655.10729,110,1623048655,107094764,init,1167,829,0,0,True,False
1623048655.1074388,111,1623048655,107282876,init,1166,829,-1,0,True,False
1623048655.107527,112,1623048655,107352972,init,1166,830,0,1,True,False
1623048655.9189813,113,1623048655,918665647,init,1166,831,0,1,True,False
1623048655.918997,114,1623048655,918765544,init,1166,835,0,4,True,False
1623048655.9561284,115,1623048655,955767869,init,1167,838,1,3,True,False
1623048655.9561434,116,1623048655,955849647,init,1171,848,4,10,True,False
1623048655.956147,117,1623048655,955896377,init,1183,867,12,19,True,False
1623048655.9561536,118,1623048655,955953359,init,1191,889,8,22,True,False
1623048655.9561634,119,1623048655,955995798,init,1199,913,8,24,True,False
1623048655.9630852,120,1623048655,962750196,init,1205,931,6,18,True,False
1623048655.999896,121,1623048655,999457836,init,1206,939,1,8,True,False
1623048655.9999127,122,1623048655,999570608,init,1206,949,0,10,True,False
1623048655.999928,123,1623048655,999617576,init,1206,960,0,11,True,False
1623048655.999936,124,1623048655,999652147,init,1205,967,-1,7,True,False
1623048655.9999392,125,1623048655,999687194,init,1202,976,-3,9,True,False
1623048656.0136201,126,1623048656,13307094,init,1201,987,-1,11,True,False
1623048656.0136375,127,1623048656,13408660,init,1199,998,-2,11,True,False
1623048656.0516098,128,1623048656,51302909,init,1198,1000,-1,2,True,False
1623048656.0516286,129,1623048656,51397323,init,1197,1007,-1,7,True,False
1623048656.0516357,130,1623048656,51442384,init,1197,1014,0,7,True,False
1623048656.0518193,131,1623048656,51568031,init,1195,1021,-2,7,True,False
1623048656.0518386,132,1623048656,51645517,init,1194,1026,-1,5,True,False
1623048656.0912316,133,1623048656,90893745,init,1193,1032,-1,6,True,False
1623048656.0912604,134,1623048656,91014385,init,1192,1037,-1,5,True,False
1623048656.0914016,135,1623048656,91171026,init,1190,1043,-2,6,True,False
1623048656.0915873,136,1623048656,91255903,init,1190,1045,0,2,True,False
1623048656.091599,137,1623048656,91303348,init,1190,1049,0,4,True,False
1623048656.097577,138,1623048656,96144437,init,1189,1054,-1,5,True,False
1623048656.6357706,139,1623048656,635437011,init,1129,1056,0,0,True,False
1623048656.6357808,140,1623048656,635525465,init,1131,1037,2,-19,True,False
1623048656.6357923,141,1623048656,635569572,init,1132,1025,1,-12,True,False
1623048656.6358078,142,1623048656,635613679,init,1134,1004,2,-21,True,False
1623048656.638728,143,1623048656,638543605,init,1136,978,2,-26,True,False
1623048656.6804967,144,1623048656,680130004,init,1138,958,2,-20,True,False
1623048656.680516,145,1623048656,680232048,init,1140,926,2,-32,True,False
1623048656.680539,146,1623048656,680287837,init,1142,904,2,-22,True,False
1623048656.6807218,147,1623048656,680445671,init,1144,882,2,-22,True,False
1623048656.6807332,148,1623048656,680536985,init,1144,876,0,-6,True,False
1623048656.6818604,149,1623048656,681626081,init,1146,858,2,-18,True,False
1623048656.688493,150,1623048656,688156843,init,1148,840,2,-18,True,False
1623048656.6958468,151,1623048656,695616960,init,1150,825,2,-15,True,False
1623048656.7418182,152,1623048656,741522789,init,1151,816,1,-9,True,False
1623048656.7420204,153,1623048656,741614818,init,1151,812,0,-4,True,False
1623048656.742034,154,1623048656,741668939,init,1152,808,1,-4,True,False
1623048656.7420533,155,1623048656,741736650,init,1152,807,0,-1,True,False
1623048656.7420578,156,1623048656,741782426,init,1152,806,0,-1,True,False
1623048656.742062,157,1623048656,741816520,init,1152,805,0,-1,True,False
1623048656.7837014,158,1623048656,783325672,init,1152,804,0,-1,True,False
1623048656.783713,159,1623048656,783452272,init,1151,803,-1,-1,True,False
1623048656.7837296,160,1623048656,783508777,init,1150,802,-1,-1,True,False
1623048656.783937,161,1623048656,783585071,init,1149,800,-1,-2,True,False
1623048656.7839484,162,1623048656,783638954,init,1147,799,-2,-1,True,False
1623048656.7979176,163,1623048656,797506332,init,1147,798,0,-1,True,False
1623048656.7979288,164,1623048656,797628879,init,1146,797,-1,-1,True,False
1623048656.8008397,165,1623048656,800641775,init,1145,797,-1,0,True,False
1623048685.5480661,1,1623048685,547746419,init,737,724,-1,0,True,False
1623048685.5542984,2,1623048685,553996324,init,737,725,0,1,True,False
1623048685.5606847,3,1623048685,560411691,init,736,725,-1,0,True,False
1623048685.5697532,4,1623048685,569498062,init,736,726,0,1,True,False
1623048685.6091247,5,1623048685,608911514,init,735,726,-1,0,True,False
1623048685.6166942,6,1623048685,616386413,init,735,727,0,1,True,False
1623048685.6565237,7,1623048685,655176401,init,734,727,-1,0,True,False
1623048685.6565351,8,1623048685,655282258,init,734,728,0,1,True,False
1623048685.69479,9,1623048685,694367408,init,734,729,0,1,True,False
1623048685.7082484,10,1623048685,707931756,init,734,730,0,1,True,False
1623048685.7148867,11,1623048685,714615106,init,734,731,0,1,True,False
1623048685.7555718,12,1623048685,755261898,init,734,732,0,1,True,False
1623048685.755715,13,1623048685,755363702,init,734,733,0,1,True,False
1623048685.7557251,14,1623048685,755409240,init,735,734,1,1,True,False
1623048685.7557523,15,1623048685,755471944,init,735,735,0,1,True,False
1623048685.7558274,16,1623048685,755512237,init,735,736,0,1,True,False
1623048685.7937002,17,1623048685,793200731,init,736,736,1,0,True,False
1623048685.7937179,18,1623048685,793294906,init,736,737,0,1,True,False
1623048685.7937255,19,1623048685,793339729,init,737,738,1,1,True,False
1623048685.793729,20,1623048685,793380260,init,738,739,1,1,True,False
1623048685.80306,21,1623048685,802789449,init,738,740,0,1,True,False
1623048685.8049955,22,1623048685,804767131,init,739,741,1,1,True,False
1623048685.8423634,23,1623048685,841963052,init,740,742,1,1,True,False
1623048685.842376,24,1623048685,842060565,init,741,743,1,1,True,False
1623048685.842396,25,1623048685,842107057,init,742,744,1,1,True,False
1623048685.8424025,26,1623048685,842144966,init,743,744,1,0,True,False
1623048685.8499634,27,1623048685,849730491,init,743,745,0,1,True,False
1623048685.8878076,28,1623048685,887480497,init,744,746,1,1,True,False
1623048685.887829,29,1623048685,887573242,init,745,747,1,1,True,False
1623048685.8878372,30,1623048685,887644052,init,746,748,1,1,True,False
1623048685.8878524,31,1623048685,887727022,init,747,748,1,0,True,False
1623048685.888074,32,1623048685,887805700,init,748,749,1,1,True,False
1623048685.8955574,33,1623048685,895312547,init,749,751,1,2,True,False
1623048685.9344194,34,1623048685,933298110,init,750,752,1,1,True,False
1623048685.934428,35,1623048685,933388471,init,751,754,1,2,True,False
1623048685.9344351,36,1623048685,933431863,init,752,755,1,1,True,False
1623048685.934437,37,1623048685,933466434,init,753,757,1,2,True,False
1623048685.9344387,38,1623048685,933500051,init,755,758,2,1,True,False
1623048685.973215,39,1623048685,972849845,init,756,760,1,2,True,False
1623048685.9732654,40,1623048685,972980499,init,757,761,1,1,True,False
1623048685.9732795,41,1623048685,973060131,init,757,762,0,1,True,False
1623048685.9745405,42,1623048685,973099946,init,758,763,1,1,True,False
1623048685.9745457,43,1623048685,973154783,init,759,764,1,1,True,False
1623048685.9786735,44,1623048685,978360414,init,759,765,0,1,True,False
1623048685.9880903,45,1623048685,987826585,init,760,765,1,0,True,False
1623048685.999621,46,1623048685,999327182,init,760,766,0,1,True,False
1623048686.0399156,47,1623048686,39594173,init,761,768,1,2,True,False
1623048686.0399392,48,1623048686,39701700,init,761,769,0,1,True,False
1623048686.0402792,49,1623048686,39862632,init,761,770,0,1,True,False
1623048686.040288,50,1623048686,39951086,init,762,772,1,2,True,False
1623048686.0402977,51,1623048686,40000438,init,762,773,0,1,True,False
1623048686.0799658,52,1623048686,79462051,init,762,774,0,1,True,False
1623048686.079981,53,1623048686,79573154,init,763,775,1,1,True,False
1623048686.0799968,54,1623048686,79620599,init,763,776,0,1,True,False
1623048686.0800061,55,1623048686,79655885,init,763,777,0,1,True,False
1623048686.1300983,56,1623048686,129818439,init,763,778,0,1,True,False
1623048686.177018,57,1623048686,176743268,init,763,778,0,0,True,False
1623048686.32551,58,1623048686,324966192,init,763,779,0,1,True,False
1623048686.325631,59,1623048686,325069904,init,763,780,0,1,True,False
1623048686.3256361,60,1623048686,325125455,init,764,781,1,1,True,False
1623048686.3256397,61,1623048686,325172901,init,765,782,1,1,True,False
1623048686.3655632,62,1623048686,365313053,init,766,784,1,2,True,False
1623048686.3656592,63,1623048686,365444183,init,767,785,1,1,True,False
1623048686.3658369,64,1623048686,365510225,init,768,785,1,0,True,False
1623048686.3659093,65,1623048686,365576744,init,769,786,1,1,True,False
1623048686.3659184,66,1623048686,365633726,init,771,787,2,1,True,False
1623048686.366627,67,1623048686,366466283,init,773,788,2,1,True,False
1623048686.374836,68,1623048686,374590158,init,775,789,2,1,True,False
1623048686.4163237,69,1623048686,415721893,init,777,789,2,0,True,False
1623048686.4163508,70,1623048686,415817499,init,779,790,2,1,True,False
1623048686.4163606,71,1623048686,415863275,init,780,791,1,1,True,False
1623048686.416372,72,1623048686,415899991,init,781,791,1,0,True,False
1623048686.4163823,73,1623048686,415936946,init,782,792,1,1,True,False
1623048686.4249625,74,1623048686,424677848,init,783,793,1,1,True,False
1623048686.4267552,75,1623048686,426514387,init,784,793,1,0,True,False
1623048686.4651697,76,1623048686,464866876,init,785,794,1,1,True,False
1623048707.8931413,1,1623048707,892789602,init,1899,428,0,0,True,False
1623048707.9340234,2,1623048707,933717012,init,1847,428,-52,0,True,False
1623048707.934217,3,1623048707,933823823,init,1769,430,-78,2,True,False
1623048707.9342618,4,1623048707,933874130,init,1715,434,-54,4,True,False
1623048707.9342756,5,1623048707,933940172,init,1681,434,-34,0,True,False
1623048707.9343312,6,1623048707,933980941,init,1625,436,-56,2,True,False
1623048707.941898,7,1623048707,941625356,init,1575,438,-50,2,True,False
1623048707.982734,8,1623048707,982173681,init,1543,440,-32,2,True,False
1623048707.9827442,9,1623048707,982312440,init,1493,444,-50,4,True,False
1623048707.983065,10,1623048707,982386112,init,1451,448,-42,4,True,False
1623048707.9830782,11,1623048707,982452630,init,1425,452,-26,4,True,False
1623048707.9830825,12,1623048707,982524871,init,1405,454,-20,2,True,False
1623048707.983118,13,1623048707,982621192,init,1381,458,-24,4,True,False
1623048707.9923134,14,1623048707,992143630,init,1355,462,-26,4,True,False
1623048708.0007842,15,1623048708,446796,init,1335,468,-20,6,True,False
1623048708.0411992,16,1623048708,40793895,init,1319,472,-16,4,True,False
1623048708.041313,17,1623048708,40892362,init,1312,475,-7,3,True,False
1623048708.0414069,18,1623048708,40944099,init,1303,478,-9,3,True,False
