Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.edges,state.suggested.u,state.suggested.v,state.terminal,state.submit_suggested,action.agent_name,action.type,action.edge.u,action.edge.v,next_state.edges,next_state.suggested.u,next_state.suggested.v,next_state.terminal,next_state.submit_suggested,action_no,step_no,turn_agent
1623048864.5922375,1,1623048864,591364622,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,0,1,human
1623048901.4791055,2,1623048901,478822946,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,8,-1,-1,[],-1,-1,False,False,1,2,human
1623048918.7496173,3,1623048918,748908519,indiv-illustrate,[],-1,-1,False,False,human,1,1,9,"[u: 1
v: 9]",-1,-1,False,False,2,3,human
1623048920.977136,4,1623048920,975822925,indiv-illustrate,"[u: 1
v: 9]",-1,-1,False,False,human,3,-1,-1,"[u: 1
v: 9]",-1,-1,True,False,3,4,human
1623048961.0065775,5,1623048961,5374193,pretest-1,[],-1,-1,False,False,human,1,7,0,"[u: 7
v: 0]",-1,-1,False,False,0,0,human
1623048965.972405,6,1623048965,971321344,pretest-1,"[u: 7
v: 0]",-1,-1,False,False,human,1,0,3,"[u: 7
v: 0, u: 0
v: 3]",-1,-1,False,False,1,0,human
1623048972.2408009,7,1623048972,240087270,pretest-1,"[u: 7
v: 0, u: 0
v: 3]",-1,-1,False,False,human,1,3,5,"[u: 7
v: 0, u: 3
v: 5, u: 0
v: 3]",-1,-1,False,False,2,0,human
1623048975.2735653,8,1623048975,272509336,pretest-1,"[u: 7
v: 0, u: 3
v: 5, u: 0
v: 3]",-1,-1,False,False,human,1,7,5,"[u: 7
v: 5, u: 7
v: 0, u: 3
v: 5, u: 0
v: 3]",-1,-1,False,False,3,0,human
1623048984.1862729,9,1623048984,184934139,pretest-1,"[u: 7
v: 5, u: 7
v: 0, u: 3
v: 5, u: 0
v: 3]",-1,-1,False,False,human,1,5,4,"[u: 0
v: 3, u: 7
v: 5, u: 7
v: 0, u: 5
v: 4, u: 3
v: 5]",-1,-1,False,False,4,0,human
1623048987.3527155,10,1623048987,352514982,pretest-1,"[u: 0
v: 3, u: 7
v: 5, u: 7
v: 0, u: 5
v: 4, u: 3
v: 5]",-1,-1,False,False,human,1,4,1,"[u: 7
v: 5, u: 5
v: 4, u: 0
v: 3, u: 4
v: 1, u: 3
v: 5, u: 7
v: 0]",-1,-1,False,False,5,0,human
