Time,agent_name,type,edge.u,edge.v
1623221713.1481369,robot,0,0,3
1623221754.7346392,robot,0,2,1
1623221766.1958647,robot,0,2,3
1623221805.0992136,robot,0,7,6
1623221816.7737637,robot,0,7,5
1623221858.759574,robot,0,6,4
1623221870.2325234,robot,0,6,5
1623221907.1060412,robot,0,5,4
1623221917.9507213,robot,0,5,7
1623221950.700422,robot,0,8,9
1623221960.9628985,robot,0,8,2
1623221999.2633553,robot,0,4,1
1623222042.0607054,robot,0,1,3
1623222072.7655275,robot,0,2,8
1623222084.228022,robot,0,2,9
1623222127.4901135,robot,0,1,9
1623222138.7226386,robot,0,1,5
1623222177.8363276,robot,0,4,9
1623222179.8787494,robot,3,0,0
1623222186.289914,robot,4,0,0
1623222201.3994634,robot,0,4,5
1623222238.6705267,robot,0,6,4
1623222249.1440527,robot,0,6,7
1623222294.3618217,robot,0,7,5
1623222304.6264005,robot,0,7,0
1623222338.623191,robot,0,4,1
1623222348.6704957,robot,0,4,9
1623222380.1853175,robot,0,3,1
1623222390.8334212,robot,0,3,0
1623222433.6423929,robot,0,2,1
1623222444.9622433,robot,0,2,3
1623222484.8394623,robot,0,2,3
1623222519.2375395,robot,0,2,3
1623222530.5100756,robot,0,2,8
1623222575.7681105,robot,0,8,9
1623222585.8166933,robot,0,8,2
1623222625.745976,robot,0,4,9
1623222627.8313134,robot,3,0,0
1623222637.8487716,robot,4,0,0
1623222652.5757205,robot,0,4,5
1623222686.1507802,robot,0,6,4
1623222698.0414703,robot,0,6,7
1623222734.911242,robot,0,7,5
1623222744.9378433,robot,0,7,0
1623222779.9663548,robot,0,0,3
1623222790.8363,robot,0,0,2
1623222821.760425,robot,0,2,1
1623222833.0026834,robot,0,2,3
1623222864.9353702,robot,0,3,1
1623222875.613695,robot,0,3,2
1623222916.977124,robot,0,9,8
1623222953.002018,robot,0,1,9
1623222985.3747602,robot,0,1,4
1623222996.849584,robot,0,1,5
1623223045.2199216,robot,0,2,1
1623223056.4410636,robot,0,2,3
1623223087.767004,robot,0,9,8
1623223099.2446659,robot,0,9,1
1623223134.256365,robot,0,7,6
1623223145.7346654,robot,0,7,5
1623223180.7787762,robot,0,6,4
1623223191.1981134,robot,0,6,5
1623223227.4581077,robot,0,5,4
1623223238.9210777,robot,0,5,7
1623223268.818513,robot,0,1,4
1623223280.304683,robot,0,1,3
1623223320.6404247,robot,0,0,3
1623223331.811344,robot,0,0,7
1623223390.7041373,robot,0,0,3
1623223430.0212457,robot,0,4,5
1623223466.654975,robot,0,6,4
1623223509.2744293,robot,0,6,7
1623223520.0535252,robot,0,6,4
1623223555.5644436,robot,0,9,8
1623223566.3993597,robot,0,9,1
1623223608.3711739,robot,0,1,2
1623223619.446703,robot,0,1,3
1623223654.6647484,robot,0,4,6
1623223665.740161,robot,0,4,1
1623223708.331017,robot,0,3,2
1623223719.3983092,robot,0,3,1
1623223763.4121735,robot,0,3,0
1623223774.4715319,robot,0,3,1
1623223810.352611,robot,0,9,1
1623223820.5689137,robot,0,9,4
1623223883.244359,robot,0,9,8
