Time,data
1623221077.8462186,"Hello! My name is Q.T., and here is my friend Utku.
Let's start when you are ready!"
1623221093.1014867,"Look at this! This is a map of Switzerland. You see many mountains, and in all of 
the mountains there is gold! You also see buildings, but they are not important."
1623221110.8109884,"In this game, we have to build a railway network to help the miners go from any mine
to any other. Our goal is to spend as little money as possible to build the railways."
1623221126.3140059,"Before we play together, let's see how to interact with the game. You see here
two gold mines, with a possible connection between them, shown as a gray track."
1623221141.3281693,"Let's connect these two gold mines to each other, so that the miners can travel
between them. For this, click on one mine, and go to the other without releasing!"
1623221158.2469923,"This railway costs 3 francs! In this game we consider the costs of the tracks:
every time we build a track, it costs something. We want to spend as little as we can."
1623221177.347175,"Now, imagine you want to remove the connections and start connecting again from 
scratch. For this, you can press the eraser button on the right. Try it!"
1623221194.538334,"Now, there is no connection between the mountains: miners can't go between them. Let's
connect again, and when you are done, propose your connection by pressing the submit button!"
1623221220.8588073,Perfect! You got a hold of it. We can begin!
1623221230.7890296,"Now, let’s start the game! Go ahead and connect the gold mines to
each other so that miners can go from any mine to any other by some path."
1623221244.7658942,"Try to spend as little as possible to build the tracks.
Please give it a try by yourself, later, we will do it together!"
1623221377.2919378,"Okay, so, let's try to connect these different gold mines to help the miners go
between them. Try to spend as few francs as you can. Give it a try!"
1623221443.9652057,"So you are done with the second one. What about these gold mines? Let's connect
 them as cheaply as possible, while miners can travel between them. Go ahead!"
1623221506.8805823,"Okay, let's try for this one now. Please connect them while spending
as little possible. There is only one more to go. Good luck!"
1623221601.692046,"So, for this final time, please connect these different mines as
cheaply as you can, by yourself. Then, we will do it together!"
1623221652.3428128,"Now, we do it together! We need to connect the mines, so that miners can travel from
any mine to any other. Our goal is to spend as few francs as possible to build tracks!"
1623221669.9213023,"We have got only four attempts to find the cheapest connection, so let's try our best! When
you think it is ready to be submitted, press submit: the system will give feedback."
1623221689.4103289,"Let's start from Basel. Shall we go to Bern? Now, it is your turn. If you think we should
connect them, agree with me by pressing the check. Otherwise, disagree with the cross!"
1623221715.8977914,"Great, you agree. Then, what should we pick next? Go ahead and suggest the
connection we should pick, by clicking on a mine and dragging to another."
1623221737.247248,"Then, you think we should go from Zurich to Luzern."
1623221746.5101233,"Okay, I think it is a good one too!"
1623221757.31785,"Then, shall we go from Zurich to Bern?"
1623221772.6749296,"Great to see that you agree.
Now it is your turn: Make a guess! What do you think I will do now?"
1623221787.549413,"I see, you think I would connect Neuchatel to Montreux."
1623221796.9036098,"Okay, I think it is a good one too!"
1623221807.6762242,"Then, shall we go from Neuchatel to Interlaken?"
1623221817.8270385,"Okay, you disagree, then you don't think it is a good connection.
Now, make a guess! What do you think I will do now?"
1623221841.1315906,"I see, you think I would connect Montreux to Zermatt."
1623221850.3703337,"Definitely, that's a good choice!"
1623221861.3395505,"Then, shall we go from Montreux to Interlaken?"
1623221872.9331486,"Okay, you disagree, then you don't think it is a good connection.
Now, make a guess! What do you think I will do now?"
1623221889.2374794,"Then, you think I want to go from Interlaken to Zermatt."
1623221898.91664,"Definitely, that's a good choice!"
1623221909.6911988,Let's pick Interlaken to Neuchatel.
1623221918.3992424,"Great to see that you agree.
Now it is your turn: what should we do?"
1623221935.347433,"I see, you want to connect Gallen to Davos."
1623221944.3567505,I agree!
1623221953.294804,Let's pick Gallen to Zurich.
1623221964.13552,"Okay, you do not agree. So, what shall we do now?"
1623221977.6353145,"I see, you want to connect Zermatt to Davos."
1623221986.772211,I don't think it is a good connection! Shouldn't we go from Zermatt to Luzern instead?
1623222000.732547,"Great, You agree with me!
Then, its your turn, which mines should we connect?"
1623222021.970349,"I see, you want to connect Luzern to Davos."
1623222031.0282087,I don't think so! I think we should rather pick Luzern to Bern.
1623222043.9666822,"Great to see that you agree.
Now it is your turn: what should we do?"
1623222057.0256677,"Then, you think we should go from Zurich to Gallen."
1623222066.0531008,I agree with you!
1623222075.374761,"Then, shall we go from Zurich to Davos?"
1623222093.2513213,"Great, you agree. So, what should we do now?"
1623222109.9176514,"I see, you want to connect Luzern to Davos."
1623222119.2456963,"Definitely, that's a good choice!"
1623222130.0885377,"Then, shall we go from Luzern to Interlaken?"
1623222145.0889547,"Okay, you disagree, then you don't think it is a good connection.
Then, what do you think we should do?"
1623222161.036604,"Hmm, you would like to go from Zermatt to Davos!"
1623222170.0428045,"Very well, let's connect them."
1623222179.9645176,It seems we can do better!
1623222180.9571586,Let's submit! The system will check if our connection is the cheapest possible.
1623222183.5222507,Let's try again!
1623222192.601773,"Umm, what about from Zermatt to Interlaken?"
1623222209.1530936,"Great to see that you agree.
Now it is your turn: what should we do?"
1623222221.764076,"I see, you want to connect Montreux to Zermatt."
1623222231.079596,"Very well, let's connect them."
1623222241.2467923,Let's pick Montreux to Neuchatel.
