Time,data
1623227695.03581,QT/happy
1623228403.8437364,QT/showing_smile
1623228431.7214391,QT/happy
1623228471.632282,QT/showing_smile
1623228495.3995202,QT/happy
1623228525.100694,QT/showing_smile
1623228535.9380598,QT/showing_smile
1623228604.7545924,QT/showing_smile
1623228624.428336,QT/happy
1623228653.8944204,QT/showing_smile
1623228678.0806124,QT/happy
1623228699.9857352,QT/showing_smile
1623228710.2284408,QT/showing_smile
1623228758.7527752,QT/showing_smile
1623228769.8252509,QT/showing_smile
1623228814.8796139,QT/showing_smile
1623228826.1429472,QT/showing_smile
1623228875.081254,QT/showing_smile
1623228886.9692504,QT/showing_smile
1623228906.4348302,QT/happy
1623228944.0999084,QT/showing_smile
1623228955.5786276,QT/showing_smile
1623228970.7435734,QT/happy
1623228993.2622833,QT/showing_smile
1623229004.5793848,QT/showing_smile
1623229016.7253356,QT/happy
1623229040.560276,QT/showing_smile
1623229052.4497552,QT/showing_smile
1623229115.7254813,QT/showing_smile
1623229152.803692,QT/showing_smile
1623229164.4786556,QT/showing_smile
1623229204.8109415,QT/showing_smile
1623229227.3521345,QT/showing_smile
1623229252.5526626,QT/happy
1623229287.7557607,QT/showing_smile
1623229310.4993467,QT/showing_smile
1623229327.096038,QT/happy
1623229356.376127,QT/showing_smile
1623229369.4921737,QT/happy
1623229395.276793,QT/showing_smile
1623229418.430311,QT/showing_smile
1623229485.6180172,QT/happy
1623229533.9397147,QT/showing_smile
1623229544.3839486,QT/showing_smile
1623229561.1847928,QT/happy
1623229597.4260573,QT/showing_smile
1623229608.8975291,QT/showing_smile
1623229620.7989032,QT/happy
1623229644.111347,QT/showing_smile
1623229655.3917298,QT/showing_smile
1623229672.8061216,QT/happy
1623229704.1372085,QT/showing_smile
1623229714.99467,QT/showing_smile
1623229749.7999697,QT/showing_smile
1623229761.6794667,QT/showing_smile
1623229781.1537604,QT/happy
1623229805.505204,QT/showing_smile
1623229816.9781625,QT/showing_smile
1623229829.0664015,QT/happy
1623229849.7315655,QT/showing_smile
1623229860.5994797,QT/showing_smile
1623229897.0524733,QT/showing_smile
1623229908.526595,QT/showing_smile
1623229959.5386984,QT/showing_smile
1623229973.3869858,QT/happy
1623230000.8780277,QT/showing_smile
1623230012.7649648,QT/showing_smile
1623230024.668317,QT/happy
1623230045.5223994,QT/showing_smile
1623230057.2080867,QT/showing_smile
1623230073.3950255,QT/happy
1623230096.7454648,QT/showing_smile
1623230107.8106945,QT/happy
1623230129.6959844,QT/showing_smile
1623230140.45987,QT/showing_smile
1623230160.0371246,QT/happy
1623230181.9310946,QT/showing_smile
1623230191.9772348,QT/showing_smile
1623230219.3292212,QT/happy
1623230242.9616601,QT/showing_smile
1623230259.7695725,QT/happy
1623230279.212534,QT/showing_smile
1623230290.5041964,QT/showing_smile
1623230362.9768586,QT/showing_smile
1623230374.2400482,QT/showing_smile
1623230385.514557,QT/happy
1623230404.1445918,QT/showing_smile
1623230415.8160305,QT/showing_smile
1623230448.7826426,QT/showing_smile
1623230459.8456345,QT/showing_smile
1623230501.820873,QT/showing_smile
1623230513.3007555,QT/showing_smile
1623230527.2451186,QT/happy
1623230547.297848,QT/showing_smile
1623230557.5391412,QT/showing_smile
1623230591.54004,QT/showing_smile
1623230602.8038523,QT/showing_smile
1623230637.604519,QT/showing_smile
1623230648.5721836,QT/showing_smile
1623230721.5745747,QT/showing_smile
1623230733.2610924,QT/showing_smile
1623230765.6068993,QT/showing_smile
1623230777.0871098,QT/showing_smile
1623230813.9495325,QT/showing_smile
1623230831.374543,QT/happy
1623230854.8992562,QT/showing_smile
1623230865.3547478,QT/showing_smile
1623230907.7385318,QT/showing_smile
1623230918.8102415,QT/showing_smile
1623230984.3344147,QT/showing_smile
1623230995.003083,QT/showing_smile
1623231017.3268356,QT/happy
1623231050.711789,QT/showing_smile
1623231060.9427023,QT/showing_smile
1623231077.3457582,QT/happy
1623231569.6823962,QT/sad
1623231569.7135441,QT/kiss
