Time,data
1623235735.3521895,QT/hi
1623235749.408795,QT/show_tablet
1623235781.6922112,QT/show_tablet
1623235816.8108025,QT/show_tablet
1623235832.8322833,QT/happy
1623235851.2655182,epfl/justhink/point_front_head_forward
1623235852.8830204,QT/yes
1623235876.4611764,QT/thanks
1623235886.2340355,QT/show_tablet
1623235900.2289903,epfl/justhink/point_front_head_forward
1623236020.5903769,QT/curious
1623236035.7910938,QT/strong
1623236075.489775,epfl/justhink/point_front_head_forward
1623236091.7066352,QT/challenge
1623236148.79002,QT/yes
1623236164.8153644,QT/curious
1623236188.520502,QT/curious
1623236224.450316,QT/show_tablet
1623236259.061652,epfl/justhink/show_QT_head_down
1623236280.3245983,epfl/justhink/point_front_head_forward
1623236284.2509432,QT/happy
1623236299.1714122,QT/yawn
1623236306.4346364,QT/so
1623236311.8715234,home_head_via_service
1623236315.9279032,QT/yes
1623236320.054794,QT/so
1623236324.1721635,epfl/justhink/show_QT_head_down
1623236329.0858338,epfl/justhink/point_front_head_forward
1623236335.9124088,QT/happy
1623236346.280092,QT/yawn
1623236352.9383273,QT/rappel
1623236358.1563394,home_head_via_service
1623236362.2340074,QT/yes
1623236366.3412716,QT/so
1623236370.450967,epfl/justhink/show_QT_head_down
1623236375.766849,epfl/justhink/point_front_head_forward
1623236388.732888,QT/sad
1623236406.5815618,QT/so
1623236412.022036,home_head_via_service
1623236416.1051257,QT/yes
1623236419.9995108,QT/so
1623236424.1210732,epfl/justhink/show_QT_head_down
1623236428.6061003,epfl/justhink/point_front_head_forward
1623236433.698338,QT/happy
1623236443.7568452,QT/yawn
1623236459.956014,QT/so
1623236465.2834826,home_head_via_service
1623236469.550629,QT/yes
1623236473.452574,QT/so
1623236477.5843372,epfl/justhink/show_QT_head_down
1623236481.8546088,epfl/justhink/point_front_head_forward
1623236500.276111,QT/sad
1623236521.5945675,QT/sad
1623236529.134208,QT/happy
1623236541.235978,QT/so
1623236546.3759315,home_head_via_service
1623236550.6726718,QT/yes
1623236554.7600937,QT/so
1623236558.8707738,epfl/justhink/show_QT_head_down
1623236562.5417743,epfl/justhink/point_front_head_forward
1623236574.2187433,QT/sad
1623236585.4204657,QT/rappel
1623236590.4015923,home_head_via_service
