Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,x,y,dx,dy,left,right
1623408280.6059513,1,1623408280,605786800,init,1393,541,0,0,True,False
1623408328.3291645,2,1623408328,328882455,init,1262,912,0,0,True,False
1623408331.566193,3,1623408331,565956354,init,1262,896,0,0,True,False
1623408332.23216,4,1623408332,231828689,init,1075,835,0,0,True,False
1623408342.6077561,5,1623408342,607555389,init,1401,794,0,0,True,False
1623408398.4079254,6,1623408398,407699346,init,1476,897,0,0,True,False
1623408413.5217347,7,1623408413,521434783,init,1201,587,0,0,True,False
1623408438.9744906,8,1623408438,974232673,start,1214,466,0,0,True,False
1623408512.922933,9,1623408512,922732830,indiv-illustrate,1128,607,0,0,True,False
1623408548.8979554,10,1623408548,897696256,indiv-illustrate,1768,560,0,0,True,False
1623408572.1119702,11,1623408572,111694335,indiv-illustrate,1119,620,0,0,True,False
1623408574.8456035,12,1623408574,845366716,indiv-illustrate,1811,876,0,0,True,False
1623408614.5669537,13,1623408614,565321207,pretest-1,1088,597,0,0,True,False
1623408624.4788501,14,1623408624,478576183,pretest-1,863,711,0,0,True,False
1623408629.5546663,15,1623408629,553161382,pretest-1,1754,536,0,0,True,False
1623408636.0505652,16,1623408636,50228118,pretest-1,1044,488,0,0,True,False
1623408640.6232967,17,1623408640,622956991,pretest-1,580,401,0,0,True,False
1623408647.9507363,18,1623408647,950416564,pretest-1,1025,485,0,0,True,False
1623408654.4332132,19,1623408654,432884454,pretest-1,530,397,0,0,True,False
1623408661.0772395,20,1623408661,76883792,pretest-1,1068,650,0,0,True,False
1623408665.4926205,21,1623408665,492294311,pretest-1,833,708,0,0,True,False
1623408668.770924,22,1623408668,770689010,pretest-1,1072,623,0,0,True,False
1623408681.2543762,23,1623408681,253816366,pretest-1,1770,870,0,0,True,False
1623408681.2778413,24,1623408681,277627944,pretest-1,1716,869,0,0,True,False
1623408683.927205,25,1623408683,927055835,pretest-1,670,564,0,0,True,False
1623408686.2031076,26,1623408686,202794075,pretest-1,731,512,0,0,True,False
1623408711.015519,27,1623408711,15223503,pretest-2,1367,832,0,0,True,False
1623408715.082873,28,1623408715,82576274,pretest-2,1450,601,0,0,True,False
1623408718.869222,29,1623408718,868947982,pretest-2,1194,703,0,0,True,False
1623408722.2872908,30,1623408722,285955905,pretest-2,870,658,0,0,True,False
1623408731.3551435,31,1623408731,354962587,pretest-2,1274,739,0,0,True,False
1623408731.4014065,32,1623408731,399632453,pretest-2,1090,726,0,0,True,False
1623408731.5713234,33,1623408731,571058988,pretest-2,1200,723,0,0,True,False
1623408733.1490695,34,1623408733,148629903,pretest-2,1345,845,0,0,True,False
1623408735.2786827,35,1623408735,278403282,pretest-2,1449,586,0,0,True,False
1623408738.4177783,36,1623408738,417483329,pretest-2,1417,586,0,0,True,False
1623408741.253386,37,1623408741,252000331,pretest-2,1455,588,0,0,True,False
1623408745.153964,38,1623408745,152578115,pretest-2,1206,377,0,0,True,False
1623408747.1850781,39,1623408747,184813976,pretest-2,1206,718,0,0,True,False
1623408749.358475,40,1623408749,358188867,pretest-2,884,611,0,0,True,False
1623408751.4418902,41,1623408751,441610097,pretest-2,1778,856,0,0,True,False
1623408753.6622345,42,1623408753,661936283,pretest-2,726,517,0,0,True,False
1623408775.6788023,43,1623408775,678390026,pretest-3,923,420,0,0,True,False
1623408778.2929902,44,1623408778,292690753,pretest-3,1084,656,0,0,True,False
1623408780.2892768,45,1623408780,289080619,pretest-3,362,475,0,0,True,False
1623408783.4133565,46,1623408783,413010358,pretest-3,776,519,0,0,True,False
1623408785.7010832,47,1623408785,700786113,pretest-3,1067,650,0,0,True,False
1623408788.650959,48,1623408788,650089740,pretest-3,455,481,0,0,True,False
1623408794.3460286,49,1623408794,345797061,pretest-3,835,565,0,0,True,False
1623408797.121687,50,1623408797,121268510,pretest-3,803,548,0,0,True,False
1623408801.3116868,51,1623408801,311336755,pretest-3,589,726,0,0,True,False
1623408803.7294674,52,1623408803,729136943,pretest-3,776,846,0,0,True,False
1623408805.7621682,53,1623408805,761876106,pretest-3,1125,662,0,0,True,False
1623408807.7992811,54,1623408807,799016237,pretest-3,613,766,0,0,True,False
1623408809.9841943,55,1623408809,984010934,pretest-3,1717,885,0,0,True,False
1623408812.5537474,56,1623408812,553485155,pretest-3,1022,507,0,0,True,False
1623408814.947325,57,1623408814,946756124,pretest-3,929,430,0,0,True,False
1623408816.5224483,58,1623408816,522117614,pretest-3,1756,935,0,0,True,False
1623408818.8264105,59,1623408818,826078891,pretest-3,710,454,0,0,True,False
1623408843.2184687,60,1623408843,218171119,pretest-4,817,555,0,0,True,False
1623408845.6786916,61,1623408845,678347587,pretest-4,1251,490,0,0,True,False
1623408848.5106285,62,1623408848,510325193,pretest-4,1500,657,0,0,True,False
1623408851.7957563,63,1623408851,795564889,pretest-4,1240,535,0,0,True,False
1623408854.7304525,64,1623408854,730180978,pretest-4,1410,632,0,0,True,False
1623408857.199095,65,1623408857,198749542,pretest-4,1430,808,0,0,True,False
1623408863.248866,66,1623408863,248728275,pretest-4,1008,716,0,0,True,False
1623408863.7401884,67,1623408863,739866018,pretest-4,960,868,0,0,True,False
1623408866.704758,68,1623408866,704293966,pretest-4,995,684,0,0,True,False
1623408868.3546348,69,1623408868,354362726,pretest-4,1225,545,0,0,True,False
1623408872.0083425,70,1623408872,8083343,pretest-4,1472,655,0,0,True,False
1623408875.102935,71,1623408875,102610349,pretest-4,754,596,0,0,True,False
1623408877.3110158,72,1623408877,310644149,pretest-4,1050,664,0,0,True,False
1623408878.63595,73,1623408878,635700702,pretest-4,1774,868,0,0,True,False
1623408878.9092937,74,1623408878,909110546,pretest-4,1777,862,0,0,True,False
