Time,data
1623408528.8546402,QT/happy
1623408977.7779255,QT/showing_smile
1623409002.5750442,QT/happy
1623409062.36032,QT/showing_smile
1623409099.6358147,QT/happy
1623409122.3664355,QT/showing_smile
1623409131.7961786,QT/showing_smile
1623409149.8071575,QT/happy
1623409171.5189164,QT/showing_smile
1623409180.772331,QT/showing_smile
1623409219.6503959,QT/showing_smile
1623409228.668683,QT/showing_smile
1623409245.2691011,QT/happy
1623409264.7032914,QT/showing_smile
1623409272.5194623,QT/showing_smile
1623409316.9319046,QT/showing_smile
1623409355.438226,QT/showing_smile
1623409367.9253862,QT/happy
1623409389.008017,QT/showing_smile
1623409399.6758473,QT/happy
1623409535.6622837,QT/showing_smile
1623409551.4274316,QT/happy
1623409570.885533,QT/showing_smile
1623409586.6617103,QT/happy
1623409603.6592977,QT/showing_smile
1623409612.461751,QT/showing_smile
1623409625.979416,QT/happy
1623409684.754422,QT/showing_smile
1623409692.956451,QT/showing_smile
1623409703.812265,QT/happy
1623409723.257848,QT/showing_smile
1623409757.2511613,QT/showing_smile
1623409766.4800203,QT/showing_smile
1623409778.9626064,QT/happy
1623409795.1378527,QT/showing_smile
1623409802.8345516,QT/showing_smile
1623409816.6426878,QT/happy
1623409835.2804322,QT/showing_smile
1623409847.164675,QT/happy
1623409861.2888696,QT/showing_smile
1623409870.310056,QT/showing_smile
1623409883.6133735,QT/happy
1623409900.4266694,QT/showing_smile
1623409909.4182894,QT/showing_smile
1623409919.0454206,QT/happy
1623409939.116823,QT/showing_smile
1623409950.803899,QT/happy
1623409962.857882,QT/showing_smile
1623409971.679178,QT/showing_smile
1623409983.6034396,QT/happy
1623410019.8139725,QT/showing_smile
1623410029.0245788,QT/showing_smile
1623410039.0622067,QT/happy
1623410057.0831034,QT/showing_smile
1623410066.2976646,QT/showing_smile
1623410090.6782613,QT/showing_smile
1623410099.2796924,QT/showing_smile
1623410111.1574156,QT/happy
1623410129.5207767,QT/showing_smile
1623410140.238805,QT/happy
1623410155.1726189,QT/showing_smile
1623410163.3825274,QT/showing_smile
1623410176.6885817,QT/happy
1623410189.89301,QT/showing_smile
1623410199.0421567,QT/showing_smile
1623410257.781627,QT/showing_smile
1623410269.6754458,QT/happy
1623410285.8386216,QT/showing_smile
1623410295.4889905,QT/showing_smile
1623410305.1013389,QT/happy
1623410322.5032907,QT/showing_smile
1623410331.7338097,QT/showing_smile
1623410341.200174,QT/happy
1623410363.0500257,QT/showing_smile
1623410373.094347,QT/happy
1623410386.8070395,QT/showing_smile
1623410396.0350275,QT/showing_smile
1623410407.4999218,QT/happy
1623410421.2271028,QT/showing_smile
1623410430.6436875,QT/showing_smile
1623410442.539237,QT/happy
1623410457.051602,QT/showing_smile
1623410465.8705657,QT/showing_smile
1623410477.7577038,QT/happy
1623410493.5058877,QT/showing_smile
1623410515.433923,QT/showing_smile
1623410558.4434955,QT/showing_smile
1623410585.6662567,QT/showing_smile
1623410594.2936122,QT/showing_smile
1623410606.564985,QT/happy
1623410622.1207514,QT/showing_smile
1623410631.55429,QT/showing_smile
1623410645.0708892,QT/happy
1623410659.6051886,QT/showing_smile
1623410667.812848,QT/showing_smile
1623410681.1160269,QT/happy
1623410696.883359,QT/showing_smile
1623410706.3189433,QT/showing_smile
1623410718.800854,QT/happy
1623410734.1526868,QT/showing_smile
1623410742.9699376,QT/showing_smile
1623410754.4372716,QT/happy
1623410768.567749,QT/showing_smile
1623410777.7966697,QT/showing_smile
1623410828.765442,QT/showing_smile
1623410839.8590944,QT/happy
1623410854.1623266,QT/showing_smile
1623410862.3628266,QT/showing_smile
1623410892.2793038,QT/showing_smile
1623410900.4713879,QT/showing_smile
1623410927.0801628,QT/showing_smile
1623410936.1177554,QT/showing_smile
1623410946.3373437,QT/happy
1623410962.1034453,QT/showing_smile
1623410971.5250094,QT/showing_smile
1623410998.7578766,QT/showing_smile
1623411007.7748616,QT/showing_smile
1623411018.420387,QT/happy
1623411032.9543226,QT/showing_smile
1623411041.9858932,QT/showing_smile
1623411425.7784,QT/sad
1623411425.7993376,QT/kiss
