Time,data
1623408414.827847,QT/hi
1623408439.3476338,QT/show_tablet
1623408473.758128,QT/show_tablet
1623408512.9456851,QT/show_tablet
1623408528.8451853,QT/happy
1623408546.8626945,epfl/justhink/point_front_head_forward
1623408548.9278238,QT/yes
1623408574.6944757,QT/thanks
1623408584.478124,QT/show_tablet
1623408599.2713504,epfl/justhink/point_front_head_forward
1623408686.8590152,QT/curious
1623408702.203296,QT/strong
1623408754.2984962,epfl/justhink/point_front_head_forward
1623408770.5086663,QT/challenge
1623408819.4951499,QT/yes
1623408838.095577,QT/curious
1623408881.7383137,QT/curious
1623408921.6515453,QT/show_tablet
1623408956.3193922,epfl/justhink/show_QT_head_down
1623408977.7686417,epfl/justhink/point_front_head_forward
1623408987.5511937,QT/happy
1623409002.5660477,QT/yawn
1623409004.6086142,QT/happy
1623409054.3439038,epfl/justhink/show_QT_head_down
1623409062.3495853,epfl/justhink/point_front_head_forward
1623409084.59197,QT/happy
1623409099.6251893,QT/yawn
1623409109.105592,QT/so
1623409118.4371622,QT/yes
1623409122.3560565,QT/so
1623409126.4647753,epfl/justhink/show_QT_head_down
1623409131.7856176,epfl/justhink/point_front_head_forward
1623409139.7139313,QT/happy
1623409149.7979527,QT/yawn
1623409158.0874827,QT/rappel
1623409167.383726,QT/yes
1623409171.5101023,QT/so
1623409175.6173415,epfl/justhink/show_QT_head_down
1623409180.7613347,epfl/justhink/point_front_head_forward
1623409188.9308918,QT/sad
1623409206.4474974,QT/so
1623409215.7299016,QT/yes
1623409219.6365745,QT/so
1623409223.7798343,epfl/justhink/show_QT_head_down
1623409228.6540372,epfl/justhink/point_front_head_forward
1623409235.1568332,QT/happy
1623409245.2508438,QT/yawn
1623409251.5006287,QT/so
1623409261.1651025,QT/yes
1623409264.6928647,QT/so
1623409268.802655,epfl/justhink/show_QT_head_down
1623409272.5033133,epfl/justhink/point_front_head_forward
1623409278.4000125,QT/sad
1623409300.6307042,QT/so
1623409310.1081476,QT/no
1623409316.9191062,QT/so
1623409321.37443,QT/sad
1623409338.0411446,QT/so
1623409347.0004401,QT/no
1623409355.4253423,QT/rappel
1623409359.5439072,QT/happy
1623409367.9166954,QT/yawn
1623409373.125589,QT/so
1623409382.2432027,QT/no
1623409392.61633,QT/happy
1623409399.6589723,QT/yawn
1623409403.1632142,QT/so
1623409528.1492589,epfl/justhink/show_QT_head_down
1623409535.6482239,epfl/justhink/point_front_head_forward
1623409542.9114861,QT/happy
1623409551.4189923,QT/yawn
1623409555.8331923,QT/so
