Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,symbol,modifiers
1623415095.0144296,1,1623415095,14165401,init,65507,0
1623415128.8789458,2,1623415128,878736972,init,65507,0
1623415129.4122431,3,1623415129,411945104,init,65363,2
1623415131.25754,4,1623415131,257228374,start,65507,0
1623415131.3546016,5,1623415131,354372978,start,65505,2
1623415131.5210743,6,1623415131,520222425,start,112,3
1623415132.7177913,7,1623415132,717497587,start,65507,0
1623415133.5718284,8,1623415133,571603775,start,65507,0
1623415137.0365493,9,1623415137,36175012,intro,65507,0
1623415142.9635096,10,1623415142,963165998,intro,65507,0
1623415143.3459086,11,1623415143,345614910,intro,65307,2
1623415174.7812846,1,1623415174,781082391,init,65507,0
1623415175.4914713,2,1623415175,491053819,init,65363,2
1623415176.6013358,3,1623415176,601053953,start,65507,0
1623415176.695566,4,1623415176,695278644,start,65505,2
1623415177.061093,5,1623415177,59994697,start,112,3
1623415178.5319145,6,1623415178,531721830,start,65507,0
1623416313.4237783,7,1623416313,423386812,collab-activity,1095216660480,0
1623416314.0208054,8,1623416314,20488977,collab-activity,1095216660480,0
1623416314.2198627,9,1623416314,219646930,collab-activity,1095216660480,0
1623416314.605644,10,1623416314,605361461,collab-activity,1095216660480,0
1623416314.9078465,11,1623416314,907360076,collab-activity,1095216660480,0
1623416964.7042706,12,1623416964,704099178,posttest-1,65507,0
1623416964.9486015,13,1623416964,948249101,posttest-1,65505,2
1623416966.1228766,14,1623416966,122572660,posttest-1,98784247808,3
1623416967.4977567,15,1623416967,497328042,posttest-1,65507,0
1623416967.5570366,16,1623416967,556807756,posttest-1,65505,2
1623416967.687064,17,1623416967,686740398,posttest-1,98784247808,3
1623416976.4903016,18,1623416976,490140676,posttest-1,65507,0
1623416980.5107193,19,1623416980,510450124,posttest-1,65513,0
1623416989.796674,20,1623416989,796432971,posttest-1,65507,0
1623416989.8464286,21,1623416989,846084117,posttest-1,65307,2
1623417007.3197465,1,1623417007,319511651,init,65507,0
1623417007.4367204,2,1623417007,436448097,init,65505,2
1623417008.2266164,3,1623417008,226097106,init,65363,3
1623417008.4866593,4,1623417008,486272096,start,65363,3
1623417008.7300901,5,1623417008,729733705,intro,65363,3
1623417009.0052404,6,1623417009,4853248,indiv-illustrate,65363,3
1623417009.4018397,7,1623417009,401452064,pretest-1,65363,3
1623417009.735731,8,1623417009,735362291,pretest-2,65363,3
1623417010.122633,9,1623417010,122231006,pretest-3,65363,3
1623417010.4844337,10,1623417010,484072923,pretest-4,65363,3
1623417010.9925141,11,1623417010,992112636,pretest-5,65363,3
1623417011.5852368,12,1623417011,584879398,collab-activity,65363,3
1623417012.5922801,13,1623417012,591886520,collab-activity-2,65363,3
1623417014.6375341,14,1623417014,637243509,posttest-1,65513,0
1623417022.203661,15,1623417022,203386783,posttest-1,65507,0
1623417022.306076,16,1623417022,305625915,posttest-1,65505,2
1623417022.7038834,17,1623417022,702777624,posttest-1,112,3
1623417985.4829397,18,1623417985,482624053,debriefing,65507,0
1623417985.7189875,19,1623417985,718472957,debriefing,65307,2
